Quận/Huyện,Logic,N/A = Yes,Phường,Đường,Đoạn,VT1,VT2,VT3,VT4,Loại đất
HUYỆN TRẢNG BOM,Phường,,Thị Trấn Trảng Bom,,,250,220,200,180,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,An Viễn,Quốc lộ 1A,,220,200,180,160,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,An Viễn,Võ Nguyên Giáp (Quốc lộ 1A tránh thành phố Biên Hòa),,220,200,180,160,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,An Viễn,Đường tỉnh 767,,220,200,180,160,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,An Viễn,Đường tỉnh 762 (Trị An - Sóc Lu),,220,200,180,160,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,An Viễn,Đường Trảng Bom - Thanh Bình,,220,200,180,160,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,An Viễn,Đường Trảng Bom - An Viễn,,220,200,180,160,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,An Viễn,Đường 20 (đường Hưng Long - Lộ 25),,210,190,170,140,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,An Viễn,Đường vào trại heo Phú Sơn (xã Bắc Sơn),,210,190,170,140,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,An Viễn,Đường Bình Minh - Giang Điền (đường vào khu du lịch Thác Giang Điền),,210,190,170,140,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,An Viễn,Đường Sông Thao - Bàu Hàm,,210,190,170,140,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,An Viễn,Đường 30 tháng 4 (xã Bàu Hàm),,210,190,170,140,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,An Viễn,Đường 19 tháng 5 (xã Bàu Hàm),,210,190,170,140,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,Yes,An Viễn,,,200,180,160,130,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Đồi 61,Quốc lộ 1A,,220,200,180,160,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Đồi 61,Võ Nguyên Giáp (Quốc lộ 1A tránh thành phố Biên Hòa),,220,200,180,160,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Đồi 61,Đường tỉnh 767,,220,200,180,160,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Đồi 61,Đường tỉnh 762 (Trị An - Sóc Lu),,220,200,180,160,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Đồi 61,Đường Trảng Bom - Thanh Bình,,220,200,180,160,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Đồi 61,Đường Trảng Bom - An Viễn,,220,200,180,160,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Đồi 61,Đường 20 (đường Hưng Long - Lộ 25),,210,190,170,140,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Đồi 61,Đường vào trại heo Phú Sơn (xã Bắc Sơn),,210,190,170,140,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Đồi 61,Đường Bình Minh - Giang Điền (đường vào khu du lịch Thác Giang Điền),,210,190,170,140,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Đồi 61,Đường Sông Thao - Bàu Hàm,,210,190,170,140,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Đồi 61,Đường 30 tháng 4 (xã Bàu Hàm),,210,190,170,140,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Đồi 61,Đường 19 tháng 5 (xã Bàu Hàm),,210,190,170,140,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,Yes,Đồi 61,,,200,180,160,130,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Bàu Hàm,Quốc lộ 1A,,170,160,140,120,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Bàu Hàm,Võ Nguyên Giáp (Quốc lộ 1A tránh thành phố Biên Hòa),,170,160,140,120,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Bàu Hàm,Đường tỉnh 767,,170,160,140,120,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Bàu Hàm,Đường tỉnh 762 (Trị An - Sóc Lu),,170,160,140,120,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Bàu Hàm,Đường Trảng Bom - Thanh Bình,,170,160,140,120,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Bàu Hàm,Đường Trảng Bom - An Viễn,,170,160,140,120,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Bàu Hàm,Đường 20 (đường Hưng Long - Lộ 25),,160,145,130,110,CÂY HÀNG NĂM
