Quận/Huyện,Logic,N/A = Yes,Phường,Đường,Đoạn,VT1,VT2,VT3,VT4,Loại đất
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Thị Trấn Vĩnh An,Khu Vực Phía Nam Sông Đồng Nai,,240,220,200,180,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Thị Trấn Vĩnh An,Khu Vực Phía Bắc Sông Đồng Nai,,70,55,50,45,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Trị An,Đường tỉnh 761,,160,150,140,120,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Trị An,Đường tỉnh 767,,160,150,140,120,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Trị An,Đường tỉnh 768,,160,150,140,120,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Trị An,Đường Đồng Khởi,,160,150,140,120,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Trị An,Đường Đoàn Văn Cự,,160,150,140,120,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Trị An,Đường Bình Hòa - Cây Dương,,150,140,130,110,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Trị An,Hương lộ 9,,150,140,130,110,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Trị An,Đường Tân Triều - Thành Đức,,150,140,130,110,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Trị An,Hương lộ 15,,150,140,130,110,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Trị An,Hương lộ 7,,150,140,130,110,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Trị An,Hương lộ 6,,150,140,130,110,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Trị An,Đường Tân Hiền,,150,140,130,110,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Trị An,Đường Hiếu Liêm,,150,140,130,110,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Trị An,Đường 322A,,150,140,130,110,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Trị An,Đường 322B,,150,140,130,110,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Trị An,Đường Lý Lịch 2 - Bình Chánh,,150,140,130,110,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Trị An,Đường ấp 4 -Cây Cầy,,150,140,130,110,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Trị An,Hương lộ 24 (xã Thanh Bình),,150,140,130,110,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Trị An,Đường liên xã Thạnh Phú - Tân Bình - Bình Lợi (đường Ông Binh),,150,140,130,110,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,Yes,Trị An,,,140,130,120,100,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Vĩnh Tân,Đường tỉnh 761,,160,150,140,120,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Vĩnh Tân,Đường tỉnh 767,,160,150,140,120,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Vĩnh Tân,Đường tỉnh 768,,160,150,140,120,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Vĩnh Tân,Đường Đồng Khởi,,160,150,140,120,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Vĩnh Tân,Đường Đoàn Văn Cự,,160,150,140,120,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Vĩnh Tân,Đường Bình Hòa - Cây Dương,,150,140,130,110,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Vĩnh Tân,Hương lộ 9,,150,140,130,110,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Vĩnh Tân,Đường Tân Triều - Thành Đức,,150,140,130,110,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Vĩnh Tân,Hương lộ 15,,150,140,130,110,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Vĩnh Tân,Hương lộ 7,,150,140,130,110,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Vĩnh Tân,Hương lộ 6,,150,140,130,110,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Vĩnh Tân,Đường Tân Hiền,,150,140,130,110,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Vĩnh Tân,Đường Hiếu Liêm,,150,140,130,110,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Vĩnh Tân,Đường 322A,,150,140,130,110,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Vĩnh Tân,Đường 322B,,150,140,130,110,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Vĩnh Tân,Đường Lý Lịch 2 - Bình Chánh,,150,140,130,110,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Vĩnh Tân,Đường ấp 4 -Cây Cầy,,150,140,130,110,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Vĩnh Tân,Hương lộ 24 (xã Thanh Bình),,150,140,130,110,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Vĩnh Tân,Đường liên xã Thạnh Phú - Tân Bình - Bình Lợi (đường Ông Binh),,150,140,130,110,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,Yes,Vĩnh Tân,,,140,130,120,100,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Phú Lý,Đường tỉnh 761,,70,60,55,45,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Phú Lý,Đường tỉnh 767,,70,60,55,45,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Phú Lý,Đường tỉnh 768,,70,60,55,45,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Phú Lý,Đường Đồng Khởi,,70,60,55,45,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Phú Lý,Đường Đoàn Văn Cự,,70,60,55,45,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Phú Lý,Đường Bình Hòa - Cây Dương,,65,55,50,40,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Phú Lý,Hương lộ 9,,65,55,50,40,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Phú Lý,Đường Tân Triều - Thành Đức,,65,55,50,40,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Phú Lý,Hương lộ 15,,65,55,50,40,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Phú Lý,Hương lộ 7,,65,55,50,40,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Phú Lý,Hương lộ 6,,65,55,50,40,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Phú Lý,Đường Tân Hiền,,65,55,50,40,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Phú Lý,Đường Hiếu Liêm,,65,55,50,40,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Phú Lý,Đường 322A,,65,55,50,40,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Phú Lý,Đường 322B,,65,55,50,40,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Phú Lý,Đường Lý Lịch 2 - Bình Chánh,,65,55,50,40,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Phú Lý,Đường ấp 4 -Cây Cầy,,65,55,50,40,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Phú Lý,Hương lộ 24 (xã Thanh Bình),,65,55,50,40,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Phú Lý,Đường liên xã Thạnh Phú - Tân Bình - Bình Lợi (đường Ông Binh),,65,55,50,40,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,Yes,Phú Lý,,,60,50,45,35,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Mã Đà,Đường tỉnh 761,,70,60,55,45,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Mã Đà,Đường tỉnh 767,,70,60,55,45,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Mã Đà,Đường tỉnh 768,,70,60,55,45,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Mã Đà,Đường Đồng Khởi,,70,60,55,45,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Mã Đà,Đường Đoàn Văn Cự,,70,60,55,45,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Mã Đà,Đường Bình Hòa - Cây Dương,,65,55,50,40,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Mã Đà,Hương lộ 9,,65,55,50,40,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Mã Đà,Đường Tân Triều - Thành Đức,,65,55,50,40,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Mã Đà,Hương lộ 15,,65,55,50,40,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Mã Đà,Hương lộ 7,,65,55,50,40,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Mã Đà,Hương lộ 6,,65,55,50,40,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Mã Đà,Đường Tân Hiền,,65,55,50,40,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Mã Đà,Đường Hiếu Liêm,,65,55,50,40,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Mã Đà,Đường 322A,,65,55,50,40,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Mã Đà,Đường 322B,,65,55,50,40,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Mã Đà,Đường Lý Lịch 2 - Bình Chánh,,65,55,50,40,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Mã Đà,Đường ấp 4 -Cây Cầy,,65,55,50,40,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Mã Đà,Hương lộ 24 (xã Thanh Bình),,65,55,50,40,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Mã Đà,Đường liên xã Thạnh Phú - Tân Bình - Bình Lợi (đường Ông Binh),,65,55,50,40,CÂY HÀNG NĂM
