Stt,Tên chung cư,Địa chỉ,Đường,Phường/Xã,district_id,Quận/huyện,province_id,Thành phố/Tỉnh,Tọa độ,,
1,Horizon Tower,"214 Trần Quang Khải, Phường Tân Định, Quận 1, TP.HCM",214 Trần Quang Khải,Phường Tân Định,349,Quận 1,34,HCM,"10.791879, 106.687848",,
2,363 Hoàng Sa (Chung cư Nguyễn Văn Nguyễn),"363 đường Hoàng Sa, Phường Tân Định, Quận 1, TP.HCM",363 đường Hoàng Sa,Phường Tân Định,349,Quận 1,34,HCM,"10.793764, 106.686388",,
3,Indochina Park Tower,"4 Nguyễn Đình Chiểu, Phường Đa Kao, Quận 1, TP.HCM",4 Nguyễn Đình Chiểu,Phường Đa Kao,349,Quận 1,34,HCM,"10.791695, 106.702539",,
4,The Marq,"29B Nguyễn Đình Chiểu, Phường Đa Kao, Quận 1, TP.HCM",29B Nguyễn Đình Chiểu,Phường Đa Kao,349,Quận 1,34,HCM,"10.787658, 106.698797",,
5,Vinhomes Golden River,"Số 2 Tôn Đức Thắng, P. Bến Nghé , Q.1,  TP. HCM",Số 2 Tôn Đức Thắng,P. Bến Nghé ,349,Quận 1,34,HCM,"10.782090, 106.706918",,
6,Grand Marina Saigon,"Số 2 Tôn Đức Thắng, Phường Bến Nghé, Quận 1, TP.HCM",Số 2 Tôn Đức Thắng,Phường Bến Nghé,349,Quận 1,34,HCM,"10.782090, 106.706918",,
7,The Vertex Private Residences,"3A Đường Tôn Đức Thắng, Bến Nghé, Quận 1, TP.HCM",3A Đường Tôn Đức Thắng,Bến Nghé,349,Quận 1,34,HCM,"10.779296, 106.707481",,
8,Cao ốc The Nexus,"Số 3A – 3B đường Tôn Đức Thắng, Phường Bến Nghé, Quận 1, TP.HCM",Số 3A – 3B đường Tôn Đức Thắng,Phường Bến Nghé,349,Quận 1,34,HCM,"10.779296, 106.707481",,
9,Căn hộ Madison,"15 Thi Sách, Bến Nghé, Quận 1, TP.HCM",15 Thi Sách,Bến Nghé,349,Quận 1,34,HCM,"10.778511, 106.704385",,
10,Ascott Waterfront Saigon,"Số 1 – 1A Đường Tôn Đức Thắng, Phường Bến Nghé, Quận 1, TP.HCM",Số 1 – 1A Đường Tôn Đức Thắng,Phường Bến Nghé,349,Quận 1,34,HCM,"10.780933, 106.707553",,
11,Vinhomes Đồng Khởi,"72A Lê Thánh Tôn, P. Bến Nghé, Quận 1. TP. HCM",72A Lê Thánh Tôn,P. Bến Nghé,349,Quận 1,34,HCM,"10.777923, 106.702354",,
12,Avalon Saigon,"53 Nguyễn Thị Minh Khai, phường Bến Nghé, Quận 1, TP.HCM",53 Nguyễn Thị Minh Khai,phường Bến Nghé,349,Quận 1,34,HCM,"10.779902, 106.695277",,
13,The Lancaster,"20-22 Bis Lê Thánh Tôn, Quận 1, TP.HCM",20-22 Bis Lê Thánh Tôn,Quận 1,349,Quận 1,34,HCM,"10.780620, 106.704710",,
14,Sailing Tower,"111A Pasteur, Bến Nghé, Quận 1, TP.HCM",111A Pasteur,Bến Nghé,349,Quận 1,34,HCM,"10.780300, 106.696117",,
15,The One Sài Gòn,"45 Đặng Thị Nhu, Phường Nguyễn Thái Bình, Quận 1, TP.HCM",45 Đặng Thị Nhu,Phường Nguyễn Thái Bình,349,Quận 1,34,HCM,"10.768970, 106.696977",,
16,The Spirit Of Saigon,"Số 1 Phạm Ngũ Lão, phường Nguyễn Thái Bình, Quận 1, TP. HCM",Số 1 Phạm Ngũ Lão,phường Nguyễn Thái Bình,349,Quận 1,34,HCM,"10.770555, 106.698623",,
17,International plaza,"343 Phạm Ngũ Lão, Phường Phạm Ngũ Lão, Quận 1, TP.HCM",343 Phạm Ngũ Lão,Phường Phạm Ngũ Lão,349,Quận 1,34,HCM,"10.767379, 106.690098",,
18,Lancaster Legacy Nguyễn Trãi,"230 Nguyễn Trãi, phường Nguyễn Cư Trinh, Quận 1, TP.HCM",230 Nguyễn Trãi,phường Nguyễn Cư Trinh,349,Quận 1,34,HCM,"10.764828, 106.687519",,
19,Chung cư 203 Nguyễn Trãi,"203 Nguyễn Trãi, Phường Nguyễn Cư Trinh, Quận 1, TP.HCM",203 Nguyễn Trãi,Phường Nguyễn Cư Trinh,349,Quận 1,34,HCM,"10.766014, 106.688000",,
20,The Grand Manhattan,"Số 100 Cô Giang, Phường Cô Giang, Quận 1, TP. HCM",Số 100 Cô Giang,Phường Cô Giang,349,Quận 1,34,HCM,"10.762998, 106.694664",,
21,Soho Residence,"Số 100 Cô Giang, Phường Cô Giang, Quận 1, TP. HCM",Số 100 Cô Giang,Phường Cô Giang,349,Quận 1,34,HCM,"10.762998, 106.694664",,
22,Chung cư Thế Hệ Mới,"17 Hồ Hảo Hớn, Phường Cô Giang, Quận 1, TP.HCM",17 Hồ Hảo Hớn,Phường Cô Giang,349,Quận 1,34,HCM,"10.760333, 106.693370",,
23,Central Garden,"328 Võ Văn Kiệt, Phường Cô Giang, Quận 1, TP. HCM",328 Võ Văn Kiệt,Phường Cô Giang,349,Quận 1,34,HCM,"10.761254, 106.695696",,
24,Cao ốc BMC,"422 Võ Văn Kiệt, Phường Cô Giang, Quận 1, TP. HCM",422 Võ Văn Kiệt,Phường Cô Giang,349,Quận 1,34,HCM,"10.759457, 106.693228",,
25,D1 Mension (River View),"608 Võ Văn Kiệt, Cầu Kho, Quận 1, TP. HCM",608 Võ Văn Kiệt,Cầu Kho,349,Quận 1,34,HCM,"10.755045, 106.687801",,
26,D1 Mension (City View),"608 Võ Văn Kiệt, Cầu Kho, Quận 1, TP. HCM",608 Võ Văn Kiệt,Cầu Kho,349,Quận 1,34,HCM,"10.755045, 106.687801",,
27,Chung cư 518 Võ Văn Kiệt,"518 Võ Văn Kiệt, Cầu Kho, Quận 1, TP. HCM",518 Võ Văn Kiệt,Cầu Kho,349,Quận 1,34,HCM,"10.757766, 106.690719",,
28,Grand Central,"196-200 Nam Kỳ Khởi Nghĩa, Phường 6, Quận 3, TP. HCM",196-200 Nam Kỳ Khởi Nghĩa,Phường 6,361,Quận 3,34,HCM,"10.782528, 106.691812",,
29,Saigon Pavillon,"53 Bà Huyện Thanh Quan, Phường 6, Quận 3, TP. HCM",53 Bà Huyện Thanh Quan,Phường 6,361,Quận 3,34,HCM,"10.776361, 106.688805",,
30,New Pearl Residence,"192 Nam Kỳ Khởi Nghĩa, phường 6, Quận 3, TP.HCM",192 Nam Kỳ Khởi Nghĩa,phường 6,361,Quận 3,34,HCM,"10.782221, 106.692151",,
31,Léman Luxury Apartments,"117 Nguyễn Đình Chiểu, phường 6, Quận 3, TP.HCM.",117 Nguyễn Đình Chiểu,phường 6,361,Quận 3,34,HCM,"10.778105, 106.689745",,
