type,appraise_title,appraise_point,asset_title,asset_point,description,difference_point,appraise_percent,asset_percent,adjust_percent
PHAP_LY,CÓ SỔ,100,SỔ CHUNG,90,KÉM THUẬN LỢI HƠN,-10,100,90,11
PHAP_LY,CÓ SỔ,100,KHÔNG CÓ SỔ,80,KÉM THUẬN LỢI HƠN,-20,100,80,25
PHAP_LY,SỔ CHUNG,90,CÓ SỔ,100,THUẬN LỢI HƠN,10,100,110,-9
PHAP_LY,SỔ CHUNG,90,KHÔNG CÓ SỔ,80,KÉM THUẬN LỢI HƠN,-10,100,90,11
PHAP_LY,KHÔNG CÓ SỔ,80,CÓ SỔ,100,THUẬN LỢI HƠN,20,100,120,-17
PHAP_LY,KHÔNG CÓ SỔ,80,SỔ CHUNG,90,THUẬN LỢI HƠN,10,100,110,-9
HINH_DANG_DAT,VUÔNG VỨC,100,TƯƠNG ĐỐI VUÔNG VỨC,95,KÉM THUẬN LỢI HƠN,-5,100,95,5
HINH_DANG_DAT,VUÔNG VỨC,100,KHÔNG VUÔNG VỨC,80,KÉM THUẬN LỢI HƠN,-20,100,80,25
HINH_DANG_DAT,VUÔNG VỨC,100,TOP HẬU,75,KÉM THUẬN LỢI HƠN,-25,100,75,33
HINH_DANG_DAT,VUÔNG VỨC,100,NỞ HẬU,100,TƯƠNG ĐỒNG,0,100,100,0
HINH_DANG_DAT,TƯƠNG ĐỐI VUÔNG VỨC,95,VUÔNG VỨC,100,THUẬN LỢI HƠN,5,100,105,-5
HINH_DANG_DAT,TƯƠNG ĐỐI VUÔNG VỨC,95,KHÔNG VUÔNG VỨC,80,KÉM THUẬN LỢI HƠN,-15,100,85,18
HINH_DANG_DAT,TƯƠNG ĐỐI VUÔNG VỨC,95,TOP HẬU,75,KÉM THUẬN LỢI HƠN,-20,100,80,25
HINH_DANG_DAT,TƯƠNG ĐỐI VUÔNG VỨC,95,NỞ HẬU,100,THUẬN LỢI HƠN,5,100,105,-5
HINH_DANG_DAT,KHÔNG VUÔNG VỨC,80,VUÔNG VỨC,100,THUẬN LỢI HƠN,20,100,120,-17
HINH_DANG_DAT,KHÔNG VUÔNG VỨC,80,TƯƠNG ĐỐI VUÔNG VỨC,95,THUẬN LỢI HƠN,15,100,115,-13
HINH_DANG_DAT,KHÔNG VUÔNG VỨC,80,TOP HẬU,75,KÉM THUẬN LỢI HƠN,-5,100,95,5
HINH_DANG_DAT,KHÔNG VUÔNG VỨC,80,NỞ HẬU,100,THUẬN LỢI HƠN,20,100,120,-17
HINH_DANG_DAT,TOP HẬU,75,VUÔNG VỨC,100,THUẬN LỢI HƠN,25,100,125,-20
HINH_DANG_DAT,TOP HẬU,75,TƯƠNG ĐỐI VUÔNG VỨC,95,THUẬN LỢI HƠN,20,100,120,-17
HINH_DANG_DAT,TOP HẬU,75,KHÔNG VUÔNG VỨC,80,THUẬN LỢI HƠN,5,100,105,-5
HINH_DANG_DAT,TOP HẬU,75,NỞ HẬU,100,THUẬN LỢI HƠN,25,100,125,-20
HINH_DANG_DAT,NỞ HẬU,100,VUÔNG VỨC,100,TƯƠNG ĐỒNG,0,100,100,0
HINH_DANG_DAT,NỞ HẬU,100,TƯƠNG ĐỐI VUÔNG VỨC,95,KÉM THUẬN LỢI HƠN,-5,100,95,5
HINH_DANG_DAT,NỞ HẬU,100,KHÔNG VUÔNG VỨC,80,KÉM THUẬN LỢI HƠN,-20,100,80,25
HINH_DANG_DAT,NỞ HẬU,100,TOP HẬU,75,KÉM THUẬN LỢI HƠN,-25,100,75,33
