type,appraise_title,appraise_point,asset_title,asset_point,adjust_percent
PHAP_LY,CÓ SỔ,100,CÓ SỔ,100,0
PHAP_LY,CÓ SỔ,100,SỔ CHUNG,90,10
PHAP_LY,CÓ SỔ,100,KHÔNG CÓ SỔ,80,20
PHAP_LY,SỔ CHUNG,90,CÓ SỔ,100,-10
PHAP_LY,SỔ CHUNG,90,SỔ CHUNG,90,0
PHAP_LY,SỔ CHUNG,90,KHÔNG CÓ SỔ,80,10
PHAP_LY,KHÔNG CÓ SỔ,80,CÓ SỔ,100,-20
PHAP_LY,KHÔNG CÓ SỔ,80,SỔ CHUNG,90,-10
PHAP_LY,KHÔNG CÓ SỔ,80,KHÔNG CÓ SỔ,80,0
HINH_DANG_DAT,VUÔNG VỨC,100,VUÔNG VỨC,100,0
HINH_DANG_DAT,VUÔNG VỨC,100,TƯƠNG ĐỐI VUÔNG VỨC,95,5
HINH_DANG_DAT,VUÔNG VỨC,100,KHÔNG VUÔNG VỨC,80,20
HINH_DANG_DAT,VUÔNG VỨC,100,TOP HẬU,75,25
HINH_DANG_DAT,VUÔNG VỨC,100,NỞ HẬU,100,0
HINH_DANG_DAT,TƯƠNG ĐỐI VUÔNG VỨC,95,VUÔNG VỨC,100,-5
HINH_DANG_DAT,TƯƠNG ĐỐI VUÔNG VỨC,95,TƯƠNG ĐỐI VUÔNG VỨC,95,0
HINH_DANG_DAT,TƯƠNG ĐỐI VUÔNG VỨC,95,KHÔNG VUÔNG VỨC,80,15
HINH_DANG_DAT,TƯƠNG ĐỐI VUÔNG VỨC,95,TOP HẬU,75,20
HINH_DANG_DAT,TƯƠNG ĐỐI VUÔNG VỨC,95,NỞ HẬU,100,-5
HINH_DANG_DAT,KHÔNG VUÔNG VỨC,80,VUÔNG VỨC,100,-20
HINH_DANG_DAT,KHÔNG VUÔNG VỨC,80,TƯƠNG ĐỐI VUÔNG VỨC,95,-15
HINH_DANG_DAT,KHÔNG VUÔNG VỨC,80,KHÔNG VUÔNG VỨC,80,0
HINH_DANG_DAT,KHÔNG VUÔNG VỨC,80,TOP HẬU,75,5
HINH_DANG_DAT,KHÔNG VUÔNG VỨC,80,NỞ HẬU,100,-20
HINH_DANG_DAT,TOP HẬU,75,VUÔNG VỨC,100,-25
HINH_DANG_DAT,TOP HẬU,75,TƯƠNG ĐỐI VUÔNG VỨC,95,-20
HINH_DANG_DAT,TOP HẬU,75,KHÔNG VUÔNG VỨC,80,-5
HINH_DANG_DAT,TOP HẬU,75,TOP HẬU,75,0
HINH_DANG_DAT,TOP HẬU,75,NỞ HẬU,100,-25
HINH_DANG_DAT,NỞ HẬU,100,VUÔNG VỨC,100,0
HINH_DANG_DAT,NỞ HẬU,100,TƯƠNG ĐỐI VUÔNG VỨC,95,5
HINH_DANG_DAT,NỞ HẬU,100,KHÔNG VUÔNG VỨC,80,20
HINH_DANG_DAT,NỞ HẬU,100,TOP HẬU,75,25
HINH_DANG_DAT,NỞ HẬU,100,NỞ HẬU,100,0
KET_CAU_DUONG,ĐƯỜNG NHỰA,100,ĐƯỜNG NHỰA,100,0
KET_CAU_DUONG,ĐƯỜNG NHỰA,100,ĐƯỜNG BÊ TÔNG,90,10
KET_CAU_DUONG,ĐƯỜNG NHỰA,100,"ĐƯỜNG CẤP PHỐI, ĐƯỜNG ĐÁ",80,20
KET_CAU_DUONG,ĐƯỜNG NHỰA,100,ĐƯỜNG ĐẤT,70,30
KET_CAU_DUONG,ĐƯỜNG BÊ TÔNG,90,ĐƯỜNG NHỰA,100,-10
KET_CAU_DUONG,ĐƯỜNG BÊ TÔNG,90,ĐƯỜNG BÊ TÔNG,90,0
KET_CAU_DUONG,ĐƯỜNG BÊ TÔNG,90,"ĐƯỜNG CẤP PHỐI, ĐƯỜNG ĐÁ",80,10
KET_CAU_DUONG,ĐƯỜNG BÊ TÔNG,90,ĐƯỜNG ĐẤT,70,20
KET_CAU_DUONG,"ĐƯỜNG CẤP PHỐI, ĐƯỜNG ĐÁ",80,ĐƯỜNG NHỰA,100,-20
KET_CAU_DUONG,"ĐƯỜNG CẤP PHỐI, ĐƯỜNG ĐÁ",80,ĐƯỜNG BÊ TÔNG,90,-10
KET_CAU_DUONG,"ĐƯỜNG CẤP PHỐI, ĐƯỜNG ĐÁ",80,"ĐƯỜNG CẤP PHỐI, ĐƯỜNG ĐÁ",80,0
KET_CAU_DUONG,"ĐƯỜNG CẤP PHỐI, ĐƯỜNG ĐÁ",80,ĐƯỜNG ĐẤT,70,10
KET_CAU_DUONG,ĐƯỜNG ĐẤT,70,ĐƯỜNG NHỰA,100,-30
KET_CAU_DUONG,ĐƯỜNG ĐẤT,70,ĐƯỜNG BÊ TÔNG,90,-20
KET_CAU_DUONG,ĐƯỜNG ĐẤT,70,"ĐƯỜNG CẤP PHỐI, ĐƯỜNG ĐÁ",80,-10
KET_CAU_DUONG,ĐƯỜNG ĐẤT,70,ĐƯỜNG ĐẤT,70,0
DO_RONG_DUONG,< 2m,70,< 2m,70,0
DO_RONG_DUONG,< 2m,70,≥ 2m đến < 3m,80,-10
DO_RONG_DUONG,< 2m,70,≥ 3m đến < 5m,90,-20
DO_RONG_DUONG,< 2m,70,≥ 5m,100,-30
DO_RONG_DUONG,≥ 2m đến < 3m,80,< 2m,70,10
DO_RONG_DUONG,≥ 2m đến < 3m,80,≥ 2m đến < 3m,80,0
DO_RONG_DUONG,≥ 2m đến < 3m,80,≥ 3m đến < 5m,90,-10
DO_RONG_DUONG,≥ 2m đến < 3m,80,≥ 5m,100,-20
DO_RONG_DUONG,≥ 3m đến < 5m,90,< 2m,70,20
DO_RONG_DUONG,≥ 3m đến < 5m,90,≥ 2m đến < 3m,80,10
DO_RONG_DUONG,≥ 3m đến < 5m,90,≥ 3m đến < 5m,90,0
DO_RONG_DUONG,≥ 3m đến < 5m,90,≥ 5m,100,-10
DO_RONG_DUONG,≥ 5m,100,< 2m,70,30
DO_RONG_DUONG,≥ 5m,100,≥ 2m đến < 3m,80,20
DO_RONG_DUONG,≥ 5m,100,≥ 3m đến < 5m,90,10
DO_RONG_DUONG,≥ 5m,100,≥ 5m,100,0
GIAO_THONG,GẦN TRỤC ĐƯỜNG CHÍNH,100,GẦN TRỤC ĐƯỜNG CHÍNH,100,0
GIAO_THONG,GẦN TRỤC ĐƯỜNG CHÍNH,100,XA TRỤC ĐƯỜNG CHÍNH,80,20
GIAO_THONG,GẦN TRỤC ĐƯỜNG CHÍNH,100,ĐẤU NỐI TRỰC TIẾP ĐƯỜNG CHÍNH,100,0
GIAO_THONG,GẦN TRỤC ĐƯỜNG CHÍNH,100,KHÔNG ĐẤU NỐI ĐƯỜNG CHÍNH,80,20
GIAO_THONG,XA TRỤC ĐƯỜNG CHÍNH,80,GẦN TRỤC ĐƯỜNG CHÍNH,100,-20
GIAO_THONG,XA TRỤC ĐƯỜNG CHÍNH,80,XA TRỤC ĐƯỜNG CHÍNH,80,0
GIAO_THONG,XA TRỤC ĐƯỜNG CHÍNH,80,ĐẤU NỐI TRỰC TIẾP ĐƯỜNG CHÍNH,100,-20
GIAO_THONG,XA TRỤC ĐƯỜNG CHÍNH,80,KHÔNG ĐẤU NỐI ĐƯỜNG CHÍNH,80,0
GIAO_THONG,ĐẤU NỐI TRỰC TIẾP ĐƯỜNG CHÍNH,100,GẦN TRỤC ĐƯỜNG CHÍNH,100,0
GIAO_THONG,ĐẤU NỐI TRỰC TIẾP ĐƯỜNG CHÍNH,100,XA TRỤC ĐƯỜNG CHÍNH,80,20
GIAO_THONG,ĐẤU NỐI TRỰC TIẾP ĐƯỜNG CHÍNH,100,ĐẤU NỐI TRỰC TIẾP ĐƯỜNG CHÍNH,100,0
GIAO_THONG,ĐẤU NỐI TRỰC TIẾP ĐƯỜNG CHÍNH,100,KHÔNG ĐẤU NỐI ĐƯỜNG CHÍNH,80,20
