#,building_category,level,rate,structure,crane,aperture,factory_type,unit_price_m2
1,NHÀ Ở RIÊNG LẺ,4,1,,,,," 3490000 "
2,NHÀ Ở RIÊNG LẺ,4,2,,,,," 3242861 "
3,NHÀ Ở RIÊNG LẺ,4,3,,,,," 2953000 "
4,NHÀ Ở RIÊNG LẺ,4,4,,,,," 2627000 "
5,NHÀ Ở RIÊNG LẺ,3,1,,,,," 6023000 "
6,NHÀ Ở RIÊNG LẺ,3,2,,,,," 5420000 "
7,NHÀ Ở RIÊNG LẺ,3,3,,,,," 4818000 "
8,NHÀ Ở RIÊNG LẺ,3,4,,,,," 4216000 "
9,NHÀ Ở RIÊNG LẺ,2,1,,,,," 6576000 "
10,NHÀ Ở RIÊNG LẺ,2,2,,,,," 5918000 "
11,NHÀ Ở RIÊNG LẺ,2,3,,,,," 5261000 "
12,NHÀ Ở RIÊNG LẺ,2,4,,,,," 4603000 "
13,NHÀ Ở RIÊNG LẺ,1,1,,,,," 8004000 "
14,NHÀ Ở RIÊNG LẺ,1,2,,,,," 7204000 "
15,NHÀ Ở RIÊNG LẺ,1,3,,,,," 6403000 "
16,NHÀ Ở RIÊNG LẺ,1,4,,,,," 5603000 "
17,NHÀ Ở RIÊNG LẺ,<4,1,,,,," 1745000 "
18,NHÀ Ở RIÊNG LẺ,<4,2,,,,," 1571000 "
19,NHÀ Ở RIÊNG LẺ,<4,3,,,,," 1396000 "
20,BIỆT THỰ,,1,Trệt,,,,"7262000"
21,BIỆT THỰ,,2,Trệt,,,,"6844000"
22,BIỆT THỰ,,3,Trệt,,,,"6425000"
23,BIỆT THỰ,,4,Trệt,,,,"5904000"
24,BIỆT THỰ,,1,Lầu,,,,"7095000"
25,BIỆT THỰ,,2,Lầu,,,,"6652000"
26,BIỆT THỰ,,3,Lầu,,,,"6221000"
27,BIỆT THỰ,,4,Lầu,,,,"5671000"
28,NHÀ XƯỞNG (KHO),,,,0,12,Tường gạch thu hồi mái ngói,"1728000"
29,NHÀ XƯỞNG (KHO),,,,0,12,Tường gạch thu hồi mái tôn,"1728000"
30,NHÀ XƯỞNG (KHO),,,,0,12,"Tường gạch, bổ trụ, kèo thép, mái tôn","1997000"
31,NHÀ XƯỞNG (KHO),,,,0,12,"Tường gạch, mái bằng","2318000"
32,NHÀ XƯỞNG (KHO),,,,0,12,"Cột bê tông, kèo thép, tường gạch, mái tôn","2753000"
33,NHÀ XƯỞNG (KHO),,,,0,12,"Cột bê tông kèo thép, tường gạch, mái tôn","2753000"
34,NHÀ XƯỞNG (KHO),,,,0,12,"Cột kèo bê tông, tường gạch, mái tôn","2960000"
35,NHÀ XƯỞNG (KHO),,,,0,12,"Cột kèo thép, tường gạch, mái tôn","2515000"
36,NHÀ XƯỞNG (KHO),,,,0,15,"Cột kèo bê tông, tường gạch, mái tôn","4646000"
37,NHÀ XƯỞNG (KHO),,,,0,15,"Cột bê tông, kèo thép, tường gạch, mái tôn","4377000"
38,NHÀ XƯỞNG (KHO),,,,0,15,"Cột kèo thép, tường bao che tôn, mái tôn","4077000"
