TYPE,DESCRIPTION,USEFUL_YEAR,ACTIVE
PHAP_LY,CÓ SỔ,,1
PHAP_LY,KHÔNG CÓ SỔ,,1
PHAP_LY,SỔ CHUNG,,1
HINH_DANG_DAT,VUÔNG VỨC,,1
HINH_DANG_DAT,TƯƠNG ĐỐI VUÔNG VỨC,,1
HINH_DANG_DAT,KHÔNG VUÔNG VỨC,,1
HINH_DANG_DAT,TOP HẬU,,1
HINH_DANG_DAT,NỞ HẬU,,1
GIAO_THONG,GẦN TRỤC ĐƯỜNG CHÍNH,,1
GIAO_THONG,XA TRỤC ĐƯỜNG CHÍNH,,1
GIAO_THONG,ĐẤU NỐI TRỰC TIẾP ĐƯỜNG CHÍNH,,1
GIAO_THONG,KHÔNG ĐẤU NỐI TRỰC TIẾP ĐƯỜNG CHÍNH,,1
GIAO_THONG_CHAT_LIEU,ĐƯỜNG NHỰA,,1
GIAO_THONG_CHAT_LIEU,ĐƯỜNG BÊ TÔNG,,1
GIAO_THONG_CHAT_LIEU,"ĐƯỜNG CẤP PHỐI, ĐƯỜNG ĐÁ",,1
GIAO_THONG_CHAT_LIEU,ĐƯỜNG ĐẤT,,1
KINH_DOANH,KHU VỰC THUẬN LỢI KINH DOANH,,1
KINH_DOANH,KHU VỰC CÓ THỂ KINH DOANH,,1
KINH_DOANH,KHU VỰC KHÔNG THUẬN LỢI KINH DOANH,,1
DIEU_KIEN_HA_TANG,"ĐIỆN ỔN ĐỊNH, CẤP THOÁT NƯỚC TỐT",,1
DIEU_KIEN_HA_TANG,"ĐIỆN ỔN ĐỊNH, CẤP THOÁT NƯỚC KÉM",,1
DIEU_KIEN_HA_TANG,"ĐIỆN KHÔNG ỔN ĐỊNH, CẤP THOÁT NƯỚC TỐT",,1
DIEU_KIEN_HA_TANG,"ĐIỆN KHÔNG ỔN ĐỊNH, CẤP THOÁT NƯỚC KÉM",,1
AN_NINH_MOI_TRUONG_SONG,"AN NINH, MÔI TRƯỜNG SỐNG TỐT",,1
AN_NINH_MOI_TRUONG_SONG,"AN NINH, MÔI TRƯỜNG SỐNG KÉM",,1
AN_NINH_MOI_TRUONG_SONG,"KHU VỰC Ô NHIỄM, KHÓI BỤI, KẸT XE",,1
AN_NINH_MOI_TRUONG_SONG,GẦN NGHĨA TRANG,,1
PHONG_THUY,PHONG THUỶ TỐT,,1
PHONG_THUY,ĐƯỜNG ĐÂM THẲNG VÀO NHÀ,,1
PHONG_THUY,GẦN CHÙA,,1
QUY_HOACH_HIEN_TRANG,HIỆN TRẠNG SỬ DỤNG LỚN HƠN PHẦN ĐƯỢC CÔNG NHẬN,,1
QUY_HOACH_HIEN_TRANG,QUY HOẠCH TREO,,1
QUY_HOACH_HIEN_TRANG,QUY HOẠCH MỞ RỘNG ĐƯỜNG,,1
QUY_HOACH_HIEN_TRANG,KHÔNG BỊ QUY HOẠCH,,1
DIEU_KIEN_THANH_TOAN,THANH TOÁN 1 LẦN,,1
DIEU_KIEN_THANH_TOAN,THANH TOÁN NHIỀU LẦN,,1
LOAI_TAI_SAN,ĐẤT TRỐNG,,1
LOAI_TAI_SAN,ĐẤT CÓ NHÀ,,1
LOAI_TAI_SAN,CHUNG CƯ,,1
NGUON_THONG_TIN,NỘI BỘ - NHÂN VIÊN THẨM ĐỊNH,,1
LOAI_NHA,NHÀ Ở RIÊNG LẺ,,1
LOAI_NHA,BIỆT THỰ,,1
LOAI_NHA,NHÀ XƯỞNG (KHO),,1
"CAP_NHA",1
"CAP_NHA",2
"CAP_NHA",3
"CAP_NHA",4
LOAI_TAI_SAN_KHAC,NỘI THẤT,,1
LOAI_TAI_SAN_KHAC,MÁY MÓC,,1
LOAI_TAI_SAN_KHAC,HỆ THỐNG ĐÈN THÔNG MINH,,1
LOAI_GIAO_DICH,ĐÃ BÁN,,
LOAI_GIAO_DICH,ĐANG RAO BÁN,,
LOAI_GIAO_DICH,ĐÃ CHO THUÊ,,
LOAI_GIAO_DICH,ĐANG RAO CHO THUÊ,,
LOAI_DAT,ĐƠN LẺ,,1
LOAI_DAT,HỖN HỢP,,1
LOAI_DAT_CHI_TIET,ĐẤT Ở ĐÔ THỊ,,1
LOAI_DAT_CHI_TIET,ĐẤT Ở NÔNG THÔN,,1
LOAI_DAT_CHI_TIET,ĐẤT PHI NÔNG NGHIỆP,,1
LOAI_DAT_CHI_TIET,ĐẤT PHI NÔNG NGHIỆP KHÁC,,1
LOAI_DAT_CHI_TIET,CÂY LÂU NĂM,,1
LOAI_DAT_CHI_TIET,CÂY HÀNG NĂM,,1
LOAI_DAT_CHI_TIET,NUÔI TRỒNG THỦY SẢN,,1
LOAI_DAT_CHI_TIET,LÀM MUỐI,,1
LOAI_DAT_CHI_TIET,RỪNG SẢN XUẤT,,1
LOAI_DAT_CHI_TIET,"RỪNG PHÒNG HỘ, RỪNG ĐẶC DỤNG",,1
LOAI_DAT_CHI_TIET,LÚA,,1
LOAI_DAT_CHI_TIET,SẢN XUẤT KINH DOANH,,1
LOAI_DAT_CHI_TIET,ĐẤT TRỤ SỞ CƠ QUAN,,1
LOAI_DAT_CHI_TIET,HÀNH LANG LỘ GIỚI,,1
