TYPE,DESCRIPTION,USEFUL_YEAR,ACTIVE,acronym
LOAI_DAT_CHI_TIET,ĐẤT Ở ĐÔ THỊ,,1,ODT
LOAI_DAT_CHI_TIET,ĐẤT Ở NÔNG THÔN,,1,ONT
LOAI_DAT_CHI_TIET,CÂY LÂU NĂM,,1,CLN
LOAI_DAT_CHI_TIET,CÂY HÀNG NĂM,,1,CHN
LOAI_DAT_CHI_TIET,NUÔI TRỒNG THỦY SẢN,,1,NTTS
LOAI_DAT_CHI_TIET,RỪNG SẢN XUẤT,,1,RSX
LOAI_DAT_CHI_TIET,ĐẤT THƯƠNG MẠI DỊCH VỤ TẠI ĐÔ THỊ,,1,TMDVDT
LOAI_DAT_CHI_TIET,ĐẤT THƯƠNG MẠI DỊCH VỤ TẠI NÔNG THÔN,,1,TMDVNT
LOAI_DAT_CHI_TIET,ĐẤT SẢN XUẤT KINH DOANH TẠI NÔNG THÔN,,1,SXKDNT
LOAI_DAT_CHI_TIET,ĐẤT SẢN XUẤT KINH DOANH TẠI ĐÔ THỊ,,1,SXKDDT
LOAI_DAT_CHI_TIET,ĐẤT KHU CÔNG NGHIỆP,,1,KCN
LOAI_DAT_CHI_TIET,ĐẤT CỤM CÔNG NGHIỆP,,1,CCN
LOAI_DAT_CHI_TIET,"ĐẤT TẠI CÁC ĐẢO, CÙ LAO - ĐẤT NÔNG NGHIỆP",,1,DCL-NN
LOAI_DAT_CHI_TIET,"ĐẤT TẠI CÁC ĐẢO, CÙ LAO - ĐẤT Ở",,1,DCL-O
LOAI_DAT_CHI_TIET,"ĐẤT TẠI CÁC ĐẢO, CÙ LAO - ĐẤT THƯƠNG MẠI DỊCH VỤ",,1,DCL-TMDV
LOAI_DAT_CHI_TIET,"ĐẤT TẠI CÁC ĐẢO, CÙ LAO - ĐẤT SẢN XUẤT KINH DOANH PHI NÔNG NGHIỆP",,1,DCL-SXKD
