Tỉnh/Thành,Đường,Đoạn
THÀNH PHỐ BIÊN HÒA ,Đường 30 Tháng 4,Đoạn từ đường Cách Mạng Tháng 8 đến ngã năm Biên Hùng (giáp đường Hưng Đạo Vương)
THÀNH PHỐ BIÊN HÒA ,Đường 30 Tháng 4,Đoạn từ ngã năm Biên Hùng đến Vườn Mít (giáp đường Hưng Đạo Vương đến đường Phạm Văn Thuận)
THÀNH PHỐ BIÊN HÒA ,Đường Cách Mạng Tháng 8,Đoạn từ ngã ba Mũi Tàu (giáp đường Hà Huy Giáp) đến đường Nguyễn Văn Trị
THÀNH PHỐ BIÊN HÒA ,Đường Cách Mạng Tháng 8,Đoạn từ đường Nguyễn Văn Trị đến đường Phan Chu Trinh
THÀNH PHỐ BIÊN HÒA ,Đường Cách Mạng Tháng 8,Đoạn từ đường Phan Chu Trinh đến đường Nguyễn Ái Quốc
THÀNH PHỐ BIÊN HÒA ,Đường Hưng Đạo Vương,Đoạn từ đường Phan Đình Phùng đến ngã năm Biên Hùng
THÀNH PHỐ BIÊN HÒA ,Đường Hưng Đạo Vương,Đoạn từ ngã năm Biên Hùng đến Ga Biên Hòa
THÀNH PHỐ BIÊN HÒA ,Đường Lữ Mành,Đoạn 1: Từ đường Cách Mạng Tháng 8 (đường bên hông Trường Mầm non Thanh Bình) đến đường Cách Mạng Tháng 8 (đường bên hông Chi cục Thuế Biên Hòa)
THÀNH PHỐ BIÊN HÒA ,Đường Lữ Mành,Đoạn 2: Từ đường Trần Minh Trí đến giáp đoạn 1
THÀNH PHỐ BIÊN HÒA ,Đường Nguyễn Trãi,Đoạn từ đường Cách Mạng Tháng 8 đến đường Nguyễn Thị Hiền
THÀNH PHỐ BIÊN HÒA ,Đường Nguyễn Trãi,Đoạn từ đường Nguyễn Thị Hiền đến đường Nguyễn Văn Trị
THÀNH PHỐ BIÊN HÒA ,Đường Nguyễn Văn Trị,Đoạn từ Cách Mạng Tháng 8 đến hết Sở Giáo dục và Đào tạo
THÀNH PHỐ BIÊN HÒA ,Đường Nguyễn Văn Trị,Đoạn tiếp theo đến đường Phan Chu Trinh
THÀNH PHỐ BIÊN HÒA ,Đường Nguyễn Văn Trị,Đoạn từ đường Phan Chu Trinh đến đường Nguyễn Ái Quốc
THÀNH PHỐ BIÊN HÒA ,Đường Phan Chu Trinh,Đoạn từ đường Nguyễn Văn Trị đến đường Cách Mạng Tháng 8
THÀNH PHỐ BIÊN HÒA ,Đường Phan Chu Trinh,Đoạn từ đường Cách Mạng Tháng 8 đến đường Phan Đình Phùng
THÀNH PHỐ BIÊN HÒA ,Đường Quang Trung,Đoạn từ đường Cách Mạng Tháng 8 đến đường Phan Chu Trinh
THÀNH PHỐ BIÊN HÒA ,Đường Quang Trung,Đoạn từ Phan Chu Trinh đến đường Lê Thánh Tôn
THÀNH PHỐ BIÊN HÒA ,Đường Nguyễn Ái Quốc,Đoạn từ giáp ranh tỉnh Bình Dương đến cầu Hóa An
THÀNH PHỐ BIÊN HÒA ,Đường Nguyễn Ái Quốc,Đoạn từ cầu Hóa An đến giáp Trung tâm Hội nghị và Tổ chức sự kiện tỉnh Đồng Nai
THÀNH PHỐ BIÊN HÒA ,Đường Nguyễn Ái Quốc,Đoạn từ Trung tâm Hội nghị và Tổ chức sự kiện tỉnh Đồng Nai đến ngã 4 Tân Phong
THÀNH PHỐ BIÊN HÒA ,Đường Nguyễn Ái Quốc,Đoạn từ ngã 4 Tân Phong đến Công viên 30 tháng 4 (bên trái: Hẻm đền Thánh Hiếu; bên phải: Hẻm chợ nhỏ khu phố 4)
THÀNH PHỐ BIÊN HÒA ,Đường Nguyễn Văn Hoa,Đoạn từ đường Phạm Văn Thuận đến hết UBND phường Thống Nhất
THÀNH PHỐ BIÊN HÒA ,Đường Nguyễn Văn Hoa,Đoạn từ UBND phường Thống Nhất đến đường Võ Thị Sáu
THÀNH PHỐ BIÊN HÒA ,Đường Võ Thị Sáu,Đoạn từ đường Cách Mạng Tháng 8 đến đường Hà Huy Giáp
THÀNH PHỐ BIÊN HÒA ,Đường Võ Thị Sáu,Đoạn từ đường Hà Huy Giáp đến đường Phạm Văn Thuận
THÀNH PHỐ BIÊN HÒA ,Đường Hà Huy Giáp,Đoạn từ cầu Rạch Cát đến đường Võ Thị Sáu
THÀNH PHỐ BIÊN HÒA ,Đường Hà Huy Giáp,Đoạn từ đường Võ Thị Sáu đến ngã năm Biên Hùng (giáp đường Hưng Đạo Vương)
THÀNH PHỐ BIÊN HÒA ,Đường Đồng Khởi,Đoạn từ Xa lộ Hà Nội đến đường Phạm Văn Khoai
THÀNH PHỐ BIÊN HÒA ,Đường Đồng Khởi,Đoạn từ đường Phạm Văn Khoai đến cầu Đồng Khởi
THÀNH PHỐ BIÊN HÒA ,Đường Đồng Khởi,Đoạn từ cầu Đồng Khởi đến đường Nguyễn Văn Tiên
THÀNH PHỐ BIÊN HÒA ,Đường Đồng Khởi,Đoạn từ đường Nguyễn Văn Tiên đến giáp đường vào Công ty Trấn Biên
THÀNH PHỐ BIÊN HÒA ,Đường Đồng Khởi,Đoạn từ đường vào Công ty Trấn Biên đến giáp ranh huyện Vĩnh Cửu
THÀNH PHỐ BIÊN HÒA ,"Đường từ Xa lộ Hà Nội đến Sân vận động Đồng Nai (từ Xa lộ Hà Nội qua Cô nhi viện, qua KDC Đinh Thuận, Trường Đinh Tiên Hoàng)",Đoạn từ Xa lộ Hà Nội đến Trường Đinh Tiên Hoàng
THÀNH PHỐ BIÊN HÒA ,"Đường từ Xa lộ Hà Nội đến Sân vận động Đồng Nai (từ Xa lộ Hà Nội qua Cô nhi viện, qua KDC Đinh Thuận, Trường Đinh Tiên Hoàng)",Đoạn từ Trường Đinh Tiên Hoàng đến Sân vận động Đồng Nai
THÀNH PHỐ BIÊN HÒA ,Đường Lương Văn Nho,Đoạn từ đường Nguyễn Ái Quốc đến đường vào cư xá Tỉnh đội
THÀNH PHỐ BIÊN HÒA ,Đường Lương Văn Nho,Đoạn từ đường vào cư xá Tỉnh đội đến ngã rẽ giáp đường Hồ Hòa
THÀNH PHỐ BIÊN HÒA ,Đường Nguyễn Văn Tiên,Đoạn từ đường Đồng Khởi đến hết ranh khu dân cư Hốc Bà Thức
THÀNH PHỐ BIÊN HÒA ,Đường Nguyễn Văn Tiên,Đoạn từ khu dân cư Hốc Bà Thức đến ranh tường rào sân bay
THÀNH PHỐ BIÊN HÒA ,Đường Bùi Trọng Nghĩa,Đoạn từ đường Đồng Khởi đến ngã 3 cây xăng khu phố 3 - phường Trảng Dài
THÀNH PHỐ BIÊN HÒA ,Đường Bùi Trọng Nghĩa,Đoạn từ ngã ba cây xăng khu phố 3 đến Trường Tiểu học Trảng Dài
THÀNH PHỐ BIÊN HÒA ,Đường Nguyễn Khuyến (từ ĐT 768B đến ngã tư Phú Thọ),Đoạn từ ĐT 768B qua Trường Tiểu học Trảng Dài đến đường Trần Văn Xã (ngã tư Trường Nguyễn Khuyến)
THÀNH PHỐ BIÊN HÒA ,Đường Nguyễn Khuyến (từ ĐT 768B đến ngã tư Phú Thọ),Đoạn từ đường Trần Văn Xã  (ngã tư Trường Nguyễn Khuyến) đến ngã tư Phú Thọ
THÀNH PHỐ BIÊN HÒA ,Đường Nguyễn Phúc Chu (đường từ cầu Săn Máu đến đường Trần Văn Xã),Trong phạm vi bán kính 200 mét khu vực ngã tư Phú Thọ và chợ nhỏ Trảng Dài (giáp đường Trần Văn Xã)
THÀNH PHỐ BIÊN HÒA ,Đường Nguyễn Phúc Chu (đường từ cầu Săn Máu đến đường Trần Văn Xã),Đoạn còn lại
THÀNH PHỐ BIÊN HÒA ,Đường nối tiếp từ đường Trần Văn Xã qua Văn phòng KP4 phường Trảng Dài đến đường Nguyễn Thái Học,"Đoạn từ đường Trần Văn Xã đến ngã ba Tư Lô (đầu hẻm 1, tổ 17 phường Trảng Dài)"
THÀNH PHỐ BIÊN HÒA ,Đường nối tiếp từ đường Trần Văn Xã qua Văn phòng KP4 phường Trảng Dài đến đường Nguyễn Thái Học,Đoạn còn lại
THÀNH PHỐ BIÊN HÒA ,Đường Thân Nhân Trung,Đoạn từ đường Nguyễn Ái Quốc đến suối Săn Máu
THÀNH PHỐ BIÊN HÒA ,Đường Thân Nhân Trung,Đoạn từ suối Săn Máu đến đường Nguyễn Thái Học
THÀNH PHỐ BIÊN HÒA ,Xa lộ Hà Nội,Đoạn từ hẻm bên hông Giáo xứ Hà Nội (bên phải); hẻm chợ nhỏ khu phố 4 (bên trái) đến cầu Sập
THÀNH PHỐ BIÊN HÒA ,Xa lộ Hà Nội,Đoạn từ cầu Sập đến vòng xoay Tam Hiệp
THÀNH PHỐ BIÊN HÒA ,Xa lộ Hà Nội,Đoạn từ vòng xoay Tam Hiệp đến hết ranh giới tỉnh Đồng Nai
THÀNH PHỐ BIÊN HÒA ,Quốc lộ 1,Đoạn từ hẻm bên hông Giáo xứ Hà Nội (bên phải); hẻm đền Thánh Hiếu (bên trái) đến đường Phùng Khắc Khoan
THÀNH PHỐ BIÊN HÒA ,Quốc lộ 1,Đoạn từ đường Phùng Khắc Khoan đến hết chợ Thái Bình
THÀNH PHỐ BIÊN HÒA ,Quốc lộ 1,Đoạn từ chợ Thái Bình đến ranh giới huyện Trảng Bom
THÀNH PHỐ BIÊN HÒA ,Đường Hoàng Văn Bổn (đường vào Nhà máy nước Thiện Tân cũ),Đoạn từ Quốc lộ 1 đến đường Nguyễn Trường Tộ
THÀNH PHỐ BIÊN HÒA ,Đường Hoàng Văn Bổn (đường vào Nhà máy nước Thiện Tân cũ),Đoạn từ đường Nguyễn Trường Tộ đến giáp ranh Nhà máy nước Thiện Tân
THÀNH PHỐ BIÊN HÒA ,Đường Hoàng Văn Bổn (đường vào Nhà máy nước Thiện Tân cũ),Đoạn tiếp theo đến hết ranh giới phường Tân Hòa (ranh giới giữa phường Tân Hòa với xã Thiện Tân)
THÀNH PHỐ BIÊN HÒA ,Đường Hoàng Văn Bổn (đường vào Nhà máy nước Thiện Tân cũ),Đoạn tiếp theo đến hết ranh giới thành phố Biên Hòa
THÀNH PHỐ BIÊN HÒA ,Đường Lê Ngô Cát,Đoạn từ Quốc lộ 1 đến hết hẻm vào Trường THCS Nguyễn Công Trứ
THÀNH PHỐ BIÊN HÒA ,Đường Lê Ngô Cát,Đoạn từ hẻm vào Trường THCS Nguyễn Công Trứ đến hết Dòng nữ trợ thế Thánh Tâm
THÀNH PHỐ BIÊN HÒA ,Đường Lê Ngô Cát,Đoạn từ Dòng nữ trợ thế Thánh Tâm đến hết ranh giới phường Tân Hòa
THÀNH PHỐ BIÊN HÒA ,Đường Huỳnh Văn Nghệ,Đoạn từ đường Nguyễn Ái Quốc đến đường Nguyễn Bỉnh Khiêm
THÀNH PHỐ BIÊN HÒA ,Đường Huỳnh Văn Nghệ,Đoạn từ đường Nguyễn Bỉnh Khiêm đến đường Ngô Thì Nhậm
THÀNH PHỐ BIÊN HÒA ,Đường Huỳnh Văn Nghệ,Đoạn từ đường Ngô Thì Nhậm đến đường Võ Trường Toản
THÀNH PHỐ BIÊN HÒA ,Đường Huỳnh Văn Nghệ,Đoạn từ đường Võ Trường Toản đến đường ngã ba Gạc Nai
THÀNH PHỐ BIÊN HÒA ,Đường Huỳnh Văn Nghệ,Đoạn từ ngã ba Gạc Nai đến giáp ranh huyện Vĩnh Cửu
THÀNH PHỐ BIÊN HÒA ,Đường Bùi Hữu Nghĩa (đường tỉnh 16 cũ),Đoạn từ giáp ranh giới tỉnh Bình Dương đến đường Nguyễn Tri Phương
THÀNH PHỐ BIÊN HÒA ,Đường Bùi Hữu Nghĩa (đường tỉnh 16 cũ),Đoạn từ Nguyễn Tri Phương đến đường đi vào Công an phường Bửu Hòa
THÀNH PHỐ BIÊN HÒA ,Đường Bùi Hữu Nghĩa (đường tỉnh 16 cũ),Đoạn từ Công an phường Bửu Hòa đến đường Nguyễn Thị Tồn (giáp ranh giới phường Hóa An)
THÀNH PHỐ BIÊN HÒA ,Đường Bùi Hữu Nghĩa (đường tỉnh 16 cũ),Đoạn từ đường Nguyễn Thị Tồn đến đường Huỳnh Mẫn Đạt
THÀNH PHỐ BIÊN HÒA ,Đường Bùi Hữu Nghĩa (đường tỉnh 16 cũ),Đoạn từ đường Huỳnh Mẫn Đạt đến cầu Rạch Sỏi
THÀNH PHỐ BIÊN HÒA ,Đường Bùi Hữu Nghĩa (đường tỉnh 16 cũ),Đoạn từ cầu Rạch Sỏi đến cầu Ông Tiếp
THÀNH PHỐ BIÊN HÒA ,Đường Nguyễn Tri Phương,Đoạn từ cầu Rạch Cát đến cầu Ghềnh
THÀNH PHỐ BIÊN HÒA ,Đường Nguyễn Tri Phương,Đoạn từ cầu Ghềnh đến đường Nguyễn Ái Quốc
THÀNH PHỐ BIÊN HÒA ,Đường Hoàng Minh Chánh,Đoạn từ đường Nguyễn Ái Quốc đến đường Bùi Hữu Nghĩa (đường Hoàng Minh Chánh cũ)
THÀNH PHỐ BIÊN HÒA ,Đường Hoàng Minh Chánh,Đoạn từ đường Nguyễn Ái Quốc đến nghĩa trang Sùng Chính Phước Kiến (dự án đường Hoàng Minh Chánh nối dài)
THÀNH PHỐ BIÊN HÒA ,Đường Đặng Đại Độ,"Đoạn từ đường Nguyễn Tri Phương đến hết thửa đất số 56, tờ bản đồ số 60 (chiều dài 630 m giáp bờ sông)"
THÀNH PHỐ BIÊN HÒA ,Đường Đặng Đại Độ,"Đoạn từ thửa đất số 56, tờ bản đồ số 60 đến đường Đặng Văn Trơn"
THÀNH PHỐ BIÊN HÒA ,Đường Đỗ Văn Thi,Đoạn từ đường Nguyễn Tri Phương đến hết cây xăng An Thái An
THÀNH PHỐ BIÊN HÒA ,Đường Đỗ Văn Thi,Đoạn từ cây xăng An Thái An đến hết đường
THÀNH PHỐ BIÊN HÒA ,Đường Đặng Văn Trơn,Đoạn từ đường Đỗ Văn Thi đến đường rẽ lên cầu Bửu Hòa
THÀNH PHỐ BIÊN HÒA ,Đường Đặng Văn Trơn,Đoạn tiếp theo tới sông Cái
