certificate_num;certificate_date;document_num;document_date;service_fee;bank
3727,1;2022-11-10;4472;2022-11-01;6000000;HD
3730;2022-11-10;4349;2022-10-25;34500000;HD
3732;2022-11-10;4589;2022-11-10;6600000;HD
3733;2022-11-10;4580;2022-11-09;2500000;VTB
3703,1;2022-11-08;4478;2022-11-02;9900000;HD
3712;2022-11-08;4534;2022-11-07;6000000;HD
3683,1;2022-11-07;4471;2022-11-01;15000000;HD
3685;2022-11-07;4443;2022-10-31;4400000;HD
3688;2022-11-07;4516;2022-11-04;3000000;CSXH
3690;2022-11-07;4515;2022-11-04;8800000;HD
3691;2022-11-07;4526;2022-11-07;4400000;HD
3696;2022-11-07;4532;2022-11-07;3500000;AGRI
3701;2022-11-07;4533;2022-11-07;2750000;BIDV
3702;2022-11-07;4374;2022-10-26;13000000;HD
3584,1;2022-11-04;4431;2022-10-28;2750000;BIDV
3681;2022-11-04;4514;2022-11-04;2200000;VTB
3652,1;2022-11-03;4488;2022-11-02;9900000;VCB
3658;2022-11-03;4486;2022-11-02;500000;VCB
3665;2022-11-03;4496;2022-11-03;2200000;VTB
3666;2022-11-03;4497;2022-11-03;1800000;VTB
3667;2022-11-03;4398;2022-10-27;15000000;HD
3669;2022-11-03;4500;2022-11-03;2000000;VCB
3671;2022-11-03;4502;2022-11-03;2500000;VCB
3674;2022-11-03;4464;2022-11-01;3300000;BIDV
3637;2022-11-02;4463;2022-11-01;3500000;KHAC
3638,1;2022-11-02;4483;2022-11-02;1800000;VCB
3639;2022-11-02;4344;2022-10-24;3300000;HD
3639,1;2022-11-02;4487;2022-11-02;1800000;VCB
3640;2022-11-02;4470;2022-11-01;2000000;VCB
3647;2022-11-02;4469;2022-11-01;3300000;BIDV
3648;2022-11-02;4454;2022-10-31;4400000;HD
3650;2022-11-02;4455;2022-10-31;5500000;HD
3621,1;2022-11-01;2419,1;2022-06-10;3300000;VCB
3630;2022-11-01;4465;2022-11-01;2200000;VTB
3631;2022-11-01;4453;2022-10-31;1650000;VCB
3635;2022-11-01;4434;2022-10-28;5000000;HD
3636;2022-11-01;4466;2022-11-01;8800000;HD
h;2022-11-01;4447;2022-10-31;1000000;VCB
3610;2022-10-31;4393;2022-10-27;10000000;BIDV
3611;2022-10-31;4342;2022-10-24;4400000;BIDV
3615;2022-10-31;4440;2022-10-31;5500000;HD
3620;2022-10-31;4442;2022-10-31;2500000;VCB
3582;2022-10-28;4377;2022-10-26;20000000;BIDV
3582,1;2022-10-28;4433;2022-10-28;5500000;BIDV
3583,1;2022-10-28;4430;2022-10-28;2500000;VCB
3588;2022-10-28;4406;2022-10-27;1800000;VCB
3594;2022-10-28;4362;2022-10-25;1650000;VCB
3595;2022-10-28;4408;2022-10-27;1650000;VCB
3559,1;2022-10-27;4343;2022-10-24;6500000;VCB
3571;2022-10-27;3572,1;2022-08-26;3200000;VTB
3573;2022-10-27;4390;2022-10-27;5500000;HD
3575;2022-10-27;4386;2022-10-27;1800000;VTB
3576;2022-10-27;4402;2022-10-27;6480000;AGRI
3577;2022-10-27;4388;2022-10-27;30000000;KHAC
3578;2022-10-27;4387;2022-10-27;2200000;VTB
3624;2022-10-27;4394;2022-10-27;11000000;BIDV
3210,1;2022-10-26;3939;2022-09-22;1800000;VTB
3551;2022-10-26;4360;2022-10-25;2200000;VCB
3552;2022-10-26;4358;2022-10-25;2200000;VTB
3553;2022-10-26;4359;2022-10-25;2200000;VTB
h;2022-10-26;4206;2022-10-13;2500000;BIDV
3540,1;2022-10-25;4361;2022-10-25;4500000;VTB
3541,1;2022-10-25;4356;2022-10-25;3800000;VTB
3543,1;2022-10-25;4346;2022-10-24;2000000;VCB
3544;2022-10-25;4352;2022-10-25;2500000;VCB
3527,1;2022-10-24;4324;2022-10-21;5500000;HD
3531;2022-10-24;4336;2022-10-24;500000;HD
3532;2022-10-24;4325;2022-10-21;1800000;VCB
3534;2022-10-24;4330;2022-10-21;1650000;VCB
3536;2022-10-24;4171;2022-10-11;7500000;VCB
3538;2022-10-24;4335;2022-10-24;3850000;BIDV
h;2022-10-24;2636;2022-06-23;2750000;HD
h;2022-10-24;3054,1;2022-07-20;1000000;VCB
h;2022-10-24;3813;2022-09-15;10000000;HD
h;2022-10-24;3867;2022-09-19;3000000;BIDV
3511,1;2022-10-21;4446,1;2022-10-10;5000000;HD
3512;2022-10-21;4316;2022-10-21;5500000;HD
3512,1;2022-10-21;4148;2022-10-10;10000000;HD
3513;2022-10-21;4317;2022-10-21;2200000;VCB
3515;2022-10-21;4320;2022-10-21;1650000;VCB
3522;2022-10-21;4321;2022-10-21;1650000;VCB
3524;2022-10-21;4322;2022-10-21;2000000;VCB
3525;2022-10-21;4194;2022-10-12;33000000;HD
3503,1;2022-10-20;4291;2022-10-19;4500000;HD
3505,1;2022-10-20;4285;2022-10-19;3300000;BIDV
3507;2022-10-20;3824;2022-09-15;2000000;VCB
3508;2022-10-20;4304;2022-10-20;2200000;VCB
3509,1;2022-10-20;4299;2022-10-20;2500000;VCB
h;2022-10-20;3276;2022-08-04;3500000;HD
3489,1;2022-10-19;4243;2022-10-17;5000000;HD
3490,1;2022-10-19;4242;2022-10-17;5500000;HD
