TYPE,DESCRIPTION,USEFUL_YEAR,STATUS,CREATED_BY,ACRONYM
CHUC_VU,TỔNG GIÁM ĐỐC,,1,admin,TONG-GIAM-DOC
CHUC_VU,PHÓ TỔNG GIÁM ĐỐC,,1,admin,PHO-TONG-GIAM-DOC
CHUC_VU,GIÁM ĐỐC NGHIỆP VỤ,,1,admin,GIAM-DOC-NGHIEP-VU
CHUC_VU,PHÓ GIÁM ĐỐC NGHIỆP VỤ,,1,admin,PHO-GIAM-DOC-NGHIEP-VU
CHUC_VU,TRƯỞNG PHÒNG,,1,admin,TRUONG-PHONG
CHUC_VU,PHÓ TRƯỞNG PHÒNG,,1,admin,PHO-TRUONG-PHONG
CHUC_VU,CHUYÊN VIÊN THẨM ĐỊNH,,1,admin,CHUYEN-VIEN-THAM-DINH
CHUC_VU,CHUYÊN VIÊN KINH DOANH,,1,admin,CHUYEN-VIEN-KINH-DOANH
CHUC_VU,THẨM ĐỊNH VIÊN,,1,admin,THAM-DINH-VIEN
CHUC_VU,KIỂM SOÁT VIÊN,,1,admin,KIEM-SOAT-VIEN
CHUC_VU,DUYỆT GIÁ VIÊN,,1,admin,DUYET-GIA-VIEN
