name,distance,district_id,updated_at,active
Quốc lộ 1,,441,NULL,1
Quốc lộ 1,Đoạn Trung tâm ngã ba (phạm vi 300 m) ,441,,
Quốc lộ 1,Các đoạn còn lại Đoạn qua xã Xuân Định,441,,
Quốc lộ 1,Đoạn từ giáp ranh xã Xuân Định đến hết Giáo xứ Xuân Bình,441,,
Quốc lộ 1,Đoạn từ giáp Giáo xứ Xuân Bình qua Trung tâm xã Bảo Hòa (300 m),441,,
Quốc lộ 1,Đoạn tiếp theo tới giáp ranh xã Xuân Phú,441,,
Quốc lộ 1,"Khu vực chợ Bình Hòa hướng đi Long Khánh 400 m, hướng Ông Đồn 200 m",441,,
Quốc lộ 1,Các đoạn còn lại Đoạn qua xã Xuân Phú,441,,
Quốc lộ 1,Khu vực ngã ba Suối Cát B20 (phạm vi 200 m),441,,
Quốc lộ 1,Khu vực ngã ba Bảo Chánh (phạm vi 200 m),441,,
Quốc lộ 1,Các đoạn còn lại Đoạn qua xã Suối Cát,441,,
Quốc lộ 1,Đoạn từ giáp ranh thị trấn Gia Ray đến suối,441,,
Quốc lộ 1,Đoạn từ suối đến hết Giáo xứ RuSeyKeo,441,,
Quốc lộ 1,Các đoạn còn lại Đoạn qua xã Xuân Hiệp,441,,
Quốc lộ 1,Đoạn từ giáp ranh thị trấn Gia Ray đến hết Trường Mầm non ấp 6,441,,
Quốc lộ 1,Đoạn từ giáp Trường Mầm non ấp 6 đến hết Chùa Quảng Long,441,,
Quốc lộ 1,Đoạn từ giáp Chùa Quảng Long đến cầu Trắng,441,,
Quốc lộ 1,Đoạn từ cầu Trắng đến giáp ranh xã Xuân Hưng,441,,
Quốc lộ 1,Từ giáp ranh xã Xuân Tâm đến hết cây xăng Huy Hoàng,441,,
Quốc lộ 1,Từ giáp cây xăng Huy Hoàng đến đường Tà Lú + 800m,441,,
Quốc lộ 1,Từ đường Tà Lú + 800 m đến hết Giáo xứ Long Thuận,441,,
Quốc lộ 1,Từ giáp Giáo xứ Long Thuận đến đường vào Tịnh xá Ngọc Hưng,441,,
Quốc lộ 1,Từ đường vào Tịnh xá Ngọc Hưng đến giáp ranh xã Xuân Hòa,441,,
Quốc lộ 1,Từ giáp ranh xã Xuân Hưng đến đường Sóc Ba Buông,441,,
Quốc lộ 1,Từ đường Sóc Ba Buông đến ranh giới tỉnh Bình Thuận,441,,
Đường tỉnh 766,Từ cầu Phước Hưng đến hết Chùa Long Quang,441,,
Đường tỉnh 766,Từ giáp Chùa Long Quang đến ngã ba Suối Cao,441,,
Đường tỉnh 766,Từ ngã ba Suối Cao đến đường số 3 ấp Trung Lương,441,,
Đường tỉnh 766,Các đoạn còn lại qua xã Xuân Trường,441,,
Đường tỉnh 766,Đoạn từ giáp ranh xã Xuân Trường đến cây xăng số 9,441,,
Đường tỉnh 766,Đoạn từ cây xăng số 9 đến chợ Tân Hữu ,441,,
Đường tỉnh 766,Đoạn từ chợ Tân Hữu đến ranh giới tỉnh Bình Thuận,441,,
Đường tỉnh 765,,441,,
Đường tỉnh 765,Đoạn từ Quốc lộ 1 vào 300 m,441,,
Đường tỉnh 765,Đoạn từ cách Quốc lộ 1 trên 300 m đến hết Trường THCS Nguyễn Hiền,441,,
Đường tỉnh 765,Đoạn từ giáp Trường THCS Nguyễn Hiền đến hết cây xăng Đình Hường,441,,
Đường tỉnh 765,Đoạn từ giáp cây xăng Đình Hường đến giáp ranh xã Xuân Hiệp,441,,
Đường tỉnh 765,Các đoạn còn lại qua xã Suối Cát,441,,
Đường tỉnh 765,Đoạn qua xã Xuân Hiệp,441,,
Đường tỉnh 765,Đoạn từ trung tâm ngã ba Lang Minh (phạm vi 200 m),441,,
Đường tỉnh 765,Các đoạn còn lại thuộc xã Lang Minh,441,,
