Quận/Huyện,Logic,N/A = Yes,Phường,Đường,Đoạn,VT1,VT2,VT3,VT4,Loại đất
Huyện Long Thành,Phường,,Thị trấn Long Thành,,,280,250,220,180,CÂY HÀNG NĂM
Huyện Long Thành,Phường,,Thị trấn Long Thành,,,280,250,220,180,CÂY LÂU NĂM
Huyện Long Thành,Phường,,Thị trấn Long Thành,,,250,230,200,150,RỪNG SẢN XUẤT
Huyện Long Thành,Phường,,Thị trấn Long Thành,,,250,230,200,150,NUÔI TRỒNG THỦY SẢN
Huyện Long Thành,Phường + Đường + NA,,Long An,Quốc lộ 51,,220,200,180,150,CÂY HÀNG NĂM
Huyện Long Thành,Phường + Đường + NA,,Long An,Đường tỉnh 769,,220,200,180,150,CÂY HÀNG NĂM
Huyện Long Thành,Phường + Đường + NA,,Long An,Đường Phùng Hưng (đường Chất thải rắn cũ),,220,200,180,150,CÂY HÀNG NĂM
Huyện Long Thành,Phường + Đường + NA,,Long An,Đường nhựa xã Phước Bình giáp ranh thị xã Phú Mỹ,,220,200,180,150,CÂY HÀNG NĂM
Huyện Long Thành,Phường + Đường + NA,,Long An,Đường Tôn Đức Thắng (Đường tỉnh 25B),,220,200,180,150,CÂY HÀNG NĂM
Huyện Long Thành,Phường + Đường + NA,,Long Đức,Quốc lộ 51,,220,200,180,150,CÂY HÀNG NĂM
Huyện Long Thành,Phường + Đường + NA,,Long Đức,Đường tỉnh 769,,220,200,180,150,CÂY HÀNG NĂM
Huyện Long Thành,Phường + Đường + NA,,Long Đức,Đường Phùng Hưng (đường Chất thải rắn cũ),,220,200,180,150,CÂY HÀNG NĂM
Huyện Long Thành,Phường + Đường + NA,,Long Đức,Đường nhựa xã Phước Bình giáp ranh thị xã Phú Mỹ,,220,200,180,150,CÂY HÀNG NĂM
Huyện Long Thành,Phường + Đường + NA,,Long Đức,Đường Tôn Đức Thắng (Đường tỉnh 25B),,220,200,180,150,CÂY HÀNG NĂM
