id,name,district_id,active
1,"Phường Kim Dinh",7,1
2,"Phường 1",14,1
3," Phường Long Hương",7,1
4,"Phường 2",14,1
5,"Phường Long Tâm",7,1
6,"Phường 3",14,1
7,"Thị trấn Phước Bửu",49,1
8,"Thị trấn Phú Mỹ",44,1
9,"Thị trấn Long Điền",38,1
10,"Thị trấn Ngãi Giao",21,1
11,"Phường Long Toàn",7,1
12,"Bàu Chinh",21,1
13,"Hắc Dịch",44,1
14,"Bàu Lâm",49,1
15,"Thị trấn Long Hải",38,1
16,"Phường 4",14,1
17,"Phường Phước Hiệp",7,1
18,"Mỹ Xuân",44,1
19,"Phường 5",14,1
20,"Bình Ba",21,1
21,"Bình Châu",49,1
22," An Ngãi",38,1
23,"Phường Phước Hưng",7,1
24,"Phước Hoà",44,1
25,"An Nhứt",38,1
26,"Bình Giã",21,1
27,"Bông Trang",49,1
28,"Phường 6",14,1
29,"Phường Phước Nguyên",7,1
30," Bưng Riềng",49,1
31,"Tân Phước",44,1
32,"Phước Hưng",38,1
33,"Phường 7",14,1
34,"Bình Trung",21,1
35,"Phường Phước Trung",7,1
36," Hòa Bình",49,1
37,"Cù Bị",21,1
38,"Phước Tỉnh",38,1
39,"Phường 8",14,1
40," Châu Pha",44,1
41,"Hòa Long",7,1
42,"Hòa Hiệp",49,1
43,"Sông Xoài",44,1
44,"Đá Bạc",21,1
45,"Phường 9",14,1
46,"Tam Phước",38,1
47,"Long Phước",7,1
48,"Hòa Hội",49,1
49,"Phường 10",14,1
50,"Kim Long",21,1
51,"Tân Hải",44,1
52,"Tân Hưng",7,1
53," Hòa Hưng",49,1
54,"Phường 11",14,1
55," Tân Hoà",44,1
56,"Mỹ Hòa",1,1
57,"Láng Lớn",21,1
58,"Phước Tân ",49,1
59,"Mỹ Long",1,1
60,"Phường 12",14,1
61,"Nghĩa Thành",21,1
62,"Tóc Tiên",44,1
63,"Phước Thuận",49,1
64,"Phường Châu Phú B",3,1
65,"Quảng Thành",21,1
66,"Mỹ Phước",1,1
67,"Phường Nguyễn An Ninh",14,1
68,"Phường Núi Sam",3,1
69,"Tân Lâm",49,1
70,"Mỹ Quý",1,1
71,"Sơn Bình",21,1
72,"Phường Long Châu",5,1
73,"Phường Vĩnh Mỹ",3,1
74,"Phường Rạch Dừa",14,1
75," Xuyên Mộc",49,1
76,"Suối Nghệ",21,1
77,"Mỹ Khánh",1,1
78,"Phường Vĩnh Ngương",3,1
79,"Phường Long Hưng",5,1
80,"Phường Thắng Nhất",14,1
81," Mỹ Hòa Hưng",1,1
82," Suối Rao",21,1
83,"Bình Đức",1,1
84,"Phường Long Phú ",5,1
85,"Vĩnh Châu",3,1
86,"Phường Thắng Nhì",14,1
87,"Phước Hưng",13,1
88,"Xà Bang",21,1
89,"Phường Long Sơn",5,1
90,"Khánh An",13,1
91,"Bình Khánh",1,1
92,"Vĩnh Tế",3,1
93,"Phường Thắng Tam",14,1
94,"Phường Long Thạnh",5,1
95,"Xuân Sơn",21,1
96,"Khánh Bình",13,1
97,"Phường Châu Phú A",3,1
98,"Đông Xuyên",1,1
99,"Xã Đảo Long Sơn",14,1
100,"Châu Phong",5,1
101,"Lê Chánh",5,1
102,"Nhơn Hội",13,1
103,"Mỹ Bình",1,1
104,"An Hòa",24,1
105,"Long An",5,1
106,"Bình Hòa",24,1
107,"Phú Hội",13,1
108,"Mỹ Thạnh",1,1
109,"Bình Chánh",19,1
110,"An Thạnh Trung",32,1
111,"Phú Lộc",5,1
112,"Phú Hữu",13,1
113,"Bình Thạnh",24,1
114,"Mỹ Thới",1,1
115,"Bình Long",19,1
116,"Bình Phước Xuân",32,1
117,"Phú Vĩnh",5,1
118,"Mỹ An",32,1
119,"Cần Đăng",24,1
120,"Mỹ Xuyên",1,1
121,"Quốc Thái",13,1
122,"Bình Mỹ",19,1
123,"Mỹ Hiệp",32,1
124,"Tân An",5,1
125,"Bình Phú",19,1
126,"Hòa Bình Thạnh",24,1
