IDTSSS,land_type_purpose,total_area,estimation_value,price_land,TotalAmount,UnitPrice
206,57,92,7000000,"154,810,000","1,425,000,000","15,489,130"
244,57,100,2200000,"59,510,000","12,820,156,000","5,959,814"
244,61,2051.1,240000,"39,910,000","12,820,156,000","5,959,814"
282,61,312,160000,"18,710,000","2,582,580,000","4,219,902"
282,58,300,2500000,"42,110,000","2,582,580,000","4,219,902"
305,57,94.5,12000000,"474,810,000","4,487,756,000","47,489,481"
340,58,200,1350000,"168,010,000","42,549,004,800","16,809,815"
340,61,2331.2,240000,"156,910,000","42,549,004,800","16,809,815"
347,57,50,3300000,"118,610,000","994,400,000","12,126,829"
347,61,32,350000,"89,110,000","994,400,000","12,126,829"
360,62,224,370000,"156,610,000","3,510,000,000","15,669,643"
396,58,300,500000,"20,610,000","1,846,380,000","2,069,933"
396,61,592,60000,"16,210,000","1,846,380,000","2,069,933"
404,58,300,800000,"9,810,000","15,585,248,000","989,810"
404,61,15445.7,160000,"3,410,000","15,585,248,000","989,810"
442,57,150,2900000,"123,710,000","7,834,044,000","12,379,968"
442,61,482.8,170000,"96,410,000","7,834,044,000","12,379,968"
453,57,98,3000000,"92,010,000","902,500,000","9,209,184"
456,57,116.3,2626000,"266,810,000","3,104,000,000","26,689,596"
484,61,2174,170000,"18,710,000","4,085,000,000","1,879,025"
500,57,230,8000000,"345,510,000","7,948,750,000","34,559,783"
541,81,1648.2,180000,"14,110,000","2,340,000,000","1,419,731"
566,61,520,170000,"36,510,000","2,873,899,838","4,789,833"
566,58,80,1300000,"47,810,000","2,873,899,838","4,789,833"
584,57,1000,1080000,"151,810,000","75,493,600,000","15,189,859"
584,61,3970,200000,"143,010,000","75,493,600,000","15,189,859"
626,57,23,14000000,"318,210,000","732,070,000","31,829,130"
633,57,101,9000000,"145,710,000","1,472,500,000","14,579,208"
642,61,1000.1,190000,"32,210,000","3,230,000,000","3,229,677"
652,81,793,220000,"52,810,000","7,792,840,000","7,169,126"
652,57,294,2100000,"71,610,000","7,792,840,000","7,169,126"
666,61,126,430000,"238,010,000","3,000,000,000","23,809,524"
710,58,80,6000000,"121,410,000","10,191,976,000","12,149,214"
710,61,758.9,160000,"63,010,000","10,191,976,000","12,149,214"
731,57,203,4000000,"320,110,000","6,500,000,000","32,019,704"
740,61,102,350000,"65,110,000","665,000,000","6,519,608"
748,61,1192.2,135000,"19,210,000","2,300,000,000","1,929,207"
756,57,113.5,8000000,"248,110,000","2,817,000,000","24,819,383"
777,57,129.3,4200000,"111,610,000","1,520,164,000","11,169,464"
777,61,6.8,220000,"71,810,000","1,520,164,000","11,169,464"
791,57,60,1500000,"41,010,000","1,019,116,000","4,109,339"
803,57,60,1500000,"44,610,000","893,980,000","4,469,900"
811,61,120.5,315000,"112,110,000","3,363,226,500","18,632,834"
829,57,62,12320000,"999,110,000","6,195,020,000","99,919,677"
858,58,176,7800000,"242,810,000","4,275,000,000","24,289,773"
893,57,128.2,13000000,"336,410,000","4,313,880,720","33,649,616"
956,57,65,10000000,"424,910,000","5,992,480,000","42,499,858"
956,58,76,280000,"327,710,000","5,992,480,000","42,499,858"
969,61,8483,35000,"1,510,000","1,350,000,000","159,142"
974,81,406,779000,"163,910,000","16,447,426,000","27,140,967"
993,75,113,3000000,"60,110,000","1,697,500,000","7,026,076"
993,57,128.6,3000000,"60,110,000","1,697,500,000","7,026,076"
1033,57,31.9,9960000,"1,351,010,000","4,309,977,600","135,109,016"
1034,57,52,9960000,"1,196,710,000","6,223,334,000","119,679,500"
1036,58,100,2000000,"94,410,000","4,148,370,000","9,449,590"
1036,61,339,170000,"76,110,000","4,148,370,000","9,449,590"
1053,57,97,11000000,"329,810,000","3,200,000,000","32,989,691"
1112,58,100,2000000,"48,710,000","1,234,580,000","4,879,763"
1112,61,153,140000,"30,110,000","1,234,580,000","4,879,763"
1113,58,100,2000000,"45,310,000","735,320,000","4,539,012"
1113,61,62,140000,"26,710,000","735,320,000","4,539,012"
1158,57,65.8,6000000,"238,210,000","1,568,000,000","23,829,787"
1185,57,123.8,14000000,"837,410,000","10,368,200,000","83,749,596"
1192,57,174,6720000,"239,110,000","4,162,047,750","23,919,815"
1202,57,81,4200000,"137,510,000","1,114,500,000","13,759,259"
1226,57,160,7000000,"164,710,000","2,636,785,425","16,479,909"
1233,57,95.2,9000000,"318,510,000","3,033,000,000","31,859,244"
1235,81,64.9,200000,"116,710,000","2,684,440,000","16,279,200"
1235,58,100,4800000,"162,710,000","2,684,440,000","16,279,200"
1246,81,162,190000,"82,310,000","2,685,345,000","10,249,408"
1246,58,100,2200000,"102,410,000","2,685,345,000","10,249,408"
1259,81,8126,120000,"4,010,000","3,325,000,000","409,180"
1273,57,200.8,10000000,"310,410,000","6,234,760,000","31,049,602"
1310,57,60,1501500,"83,110,000","748,755,000","8,319,500"
1338,57,165,27000000,"879,110,000","14,506,680,000","87,919,273"
1341,57,80,4522000,"338,810,000","4,981,769,000","33,889,585"
1343,57,80,4522000,"327,110,000","7,594,254,700","32,719,753"
1349,61,171.2,200000,"117,910,000","5,716,320,000","15,399,569"
1349,58,200,3800000,"153,910,000","5,716,320,000","15,399,569"
1358,81,334.8,220000,"199,810,000","12,508,772,178","28,769,025"
1358,58,100,9000000,"287,610,000","12,508,772,178","28,769,025"
1382,58,100,6000000,"159,710,000","6,860,000,000","15,979,502"
1382,61,329.3,6000000,"159,710,000","6,860,000,000","15,979,502"
1395,61,10070.1,45000,"2,610,000","2,716,000,000","269,709"
1403,58,100,7500000,"187,910,000","3,406,456,000","18,799,426"
1403,62,81.2,220000,"115,110,000","3,406,456,000","18,799,426"
1405,58,100,7500000,"186,710,000","4,367,331,612","18,679,776"
1405,62,133.8,220000,"113,910,000","4,367,331,612","18,679,776"
1408,58,150,12000000,"378,210,000","8,927,708,232","37,829,272"
1408,61,86,220000,"260,410,000","8,927,708,232","37,829,272"
1427,61,1674,150000,"23,810,000","4,000,000,000","2,389,486"
1443,57,80,14000000,"217,310,000","2,717,400,000","21,739,200"
1443,61,45,280000,"80,110,000","2,717,400,000","21,739,200"
