"Stt","document_type","date","content","type","provinces","position","is_defaults"
1,"Luật giá","Số 11/2012/QH13, ngày 20 tháng 06 năm 2012 ","Quốc hội khóa 13, kỳ họp thứ 3","THAM_DINH_GIA","Tất cả",1,1
2,"Nghị định","Số 89/2013/NĐ-CP, ngày 06/08/2013","Về việc quy định chi tiết thi hành một số điều của Luật Giá về thẩm định giá.","THAM_DINH_GIA","Tất cả",2,1
3,"Nghị định","Số 177/2013/NĐ-CP
Ngày 14/11/2013","Quy định chi tiết và hướng dẫn thi hành một số điều luật giá số 11/2012/QH13 ngày 20 tháng 06 năm 2012 do Quốc hội khoá 13, kỳ họp thứ 3 ban hành.","THAM_DINH_GIA","Tất cả",3,1
4,"Thông tư","Số 38/2014/TT-BTC, ngày 28/03/2014","Về việc hướng dẫn một điều của nghị định số 89/2013/NĐ-CP ngày 06/08/2013 của Chính phủ quy định chi tiết thi hành một điều luật giá của thẩm định giá.","THAM_DINH_GIA","Tất cả",4,1
5,"Thông tư","Số 158/2014/TT-BTC, ngày 27/10/2014","Ban hành 04 Tiêu chuẩn thẩm định giá Việt Nam: TĐG VN 01, 02, 03, 04.","THAM_DINH_GIA","Tất cả",5,1
6,"Thông tư","Số 28/2015/TT-BTC, ngày 06/03/2015","Ban hành Tiêu chuẩn thẩm định giá Việt Nam: TĐG VN 05, 06, 07.","THAM_DINH_GIA","Tất cả",6,1
7,"Thông tư","Số 126/2015/TT-BTC, ngày 20/08/2015","Ban hành Tiêu chuẩn thẩm định giá Việt Nam: TĐG VN 08, 09, 10.","THAM_DINH_GIA","Tất cả",7,1
8,"Thông tư","Số 145/2016/TT-BTC, ngày 06/10/2016","Ban hành Tiêu chuẩn thẩm định giá Việt Nam TĐG VN 11.","THAM_DINH_GIA","Tất cả",8,1
1,"Luật đất đai","Số 45/2013/QH11,Ngày 29/11/2013","Quốc Hội khoá 13, kỳ họp thứ 6","DAT_DAI","Tất cả",1,1
2,"Nghị định","Số 43/2014/NĐ-CP,Ngày 15/05/2014","Quy định chi tiết thi hành một số điều của Luật Đất Đai 45/2013/QH13.","DAT_DAI","Tất cả",2,1
3,"Nghị định","Số 45/2014/NĐ-CP, Ngày 15/05/2014","Quy định về thu tiền sử dụng đất.","DAT_DAI","Tất cả",3,1
4,"Nghị định","Số 01/2017/NĐ-CP, Ngày 06/01/2017","Sửa đổi, bổ sung một số nghị định quy định chi tiết thi hành Luật đất đai.","DAT_DAI","Tất cả",4,1
5,"Nghị định","Số 123/2017/NĐ-CP,Ngày 14/11/2017","Sửa đổi, bổ sung một số điều của các nghị đinh quy định về thu tiền sử dụng đất, thu tiền thuê đất, thuê mặt nước.","DAT_DAI","Tất cả",5,1
6,"Thông tư","Số 76/2014/TT-BTC, Ngày 16/06/2014","Hướng dẫn một số điều của Nghị Định số 45/2014/NĐ-CP ngày 15 tháng 05 năm 2014 của Chính phủ quy định về thu tiền sử dụng đất.","DAT_DAI","Tất cả",6,1
7,"Thông tư","Số 332/2016/TT-BTC, Ngày 26/12/2016 ","Sửa đổi bổ sung một số điều của thông tư 76/2014/TT-BTC ngày 16 tháng 06 năm 2014 của Bộ Tài Chính hướng dẫn một số điều của Nghị Định số 45/2014/NĐ-CP ngày 15 tháng 05 năm 2014 của Chính phủ quy định về thu tiền sử dụng đất.","DAT_DAI","Tất cả",7,1
8,"Quyết định ","Số 49/2019/QĐ-UBND, ngày 31/12/2019","Ban hành quy định về giá các loại đất tỉnh Đồng Nai 05 năm giai đoạn 2020 – 2024","DAT_DAI","Tất cả",8,1
9,"Quyết định ","Số 11/2020/QĐ-BND,ngày 30/03/2020","Quyết định về việc quy định hệ số điều chỉnh giá đất năm 2020 trên địa bàn tỉnh Đồng Nai","DAT_DAI","Tất cả",9,1
1,"Luật Xây dựng","Số 16/2003/QH11, ngày 26/11/2003","Quốc hội khoá 11, kỳ họp thứ 4.","XAY_DUNG","Tất cả",1,1
2,"Luật nhà ở","Số 65/2014/QH13, Ngày 25/11/2014","Quốc Hội khoá 13, kỳ họp thứ 8","XAY_DUNG","Tất cả",2,1
3,"Luật kinh doanh bất động sản","Số 66/2014/QH13, Ngày 25/11/2014","Quốc Hội khoá 13, kỳ họp thứ 8","XAY_DUNG","Tất cả",3,1
4,"Nghị định","Số 99/2015/NĐ-CP, Ngày 20/10/2015","Quy định chi tiết và hướng dẫn thi hành một số điều của luật nhà ở.","XAY_DUNG","Tất cả",4,1
5,"Thông tư liên bộ","Số 13/LB-TT, ngày 18/08/1994 ","V/v hướng dẫn phương pháp xác định giá trị còn lại của nhà ở.","XAY_DUNG","Tất cả",5,1
6,"Thông tư","Số 12/2012/TT-BXD, Ngày 28/12/2012","Ban hành quy chuẩn kỹ thuật quốc gia nguyên tắc phân loại, phân cấp công trình dân dụng, công nghiệp và hạ tầng kỹ thuật đô thị ","XAY_DUNG","Tất cả",6,1
7,"Thông tư","Số 45/2013/TT-BTC,ngày 25/4/2013","Hướng dẫn chế độ quản lý, sử dụng và trích khấu hao tài sản cố định tính hao mòn, khấu hao tài sản cố định.","XAY_DUNG","Tất cả",7,1
8,"Quyết định ","Số 44/QĐ-BXD, ngày 14/01/2020","Ban hành quyết định Suất vốn đầu tư xây dựng công trình và giá xây dựng tổng hợp bộ phần kết cấu công trình 2018","XAY_DUNG","Tất cả",8,1
9,"Quyết định ","Số 57/2014/QĐ-UBND, ngày 20/11/2014","Ban hành quy định về đơn giá nhà ở để bồi thường khi Nhà nước thu hồi đất, để bán nhà ở thuộc sở hữu Nhà nước cho người đang thuê, để định giá trong các vụ án của tòa án, thi hành án và định giá trong các nghiệp vụ kinh tế khác trên địa bàn tỉnh Đồng Nai","XAY_DUNG","Tất cả",9,1
10,"Quyết định ","Số 09/2019/QĐ-UBND, ngày 11/03/2019","Sửa đồi mộ số phụ lục Đơn giá xây dựng để bồi thường khi Nhà nước thu hồi đất, để bán nhà ở thuộc sở hữu Nhà nước cho người đang thuê, để định giá trong các vụ án của tòa án, thi hành án và định giá trong các nghiệp vụ kinh tế khác trên địa bàn tỉnh Đồng Nai ban hành kèm theo Quyết định số 57/2014/QĐ-UBND ngày 20/11/2014 của UBND tỉnh Đồng Nai","XAY_DUNG","Tất cả",10,1
11,"Quyết định ","Số 11/2019/QĐ-UBND, ngày 15/03/2019","Ban hành quy định về giá bồi thường, hỗ trợ tài sản khi Nhà nước thu hồi đất trên địa bàn tỉnh Đồng Nai","XAY_DUNG","Tất cả",11,1
12,"Quyết định ","Số 49/2019/QĐ-UBND, ngày 31/12/2019","Ban hành quy định về giá các loại đất tỉnh Đồng Nai 05 năm giai đoạn 2020 – 2024","DIA_PHUONG","Tất cả",1,1
13,"Quyết định","Số 27/2020/QĐ-UBND, ngày 26/12/2020","Quyết định về việc quy định hệ số điều chỉnh giá đất năm 2021 trên địa bàn tỉnh Đồng Nai","DIA_PHUONG","Tất cả",2,1
14,"Quyết định","Số 57/2014/QĐ-UBND, ngày 20/11/2014","Ban hành quy định về đơn giá nhà ở để bồi thường khi Nhà nước thu hồi đất, để bán nhà ở thuộc sở hữu Nhà nước cho người đang thuê, để định giá trong các vụ án của tòa án, thi hành án và định giá trong các nghiệp vụ kinh tế khác trên địa bàn tỉnh Đồng Nai","DIA_PHUONG","Tất cả",3,1
15,"Quyết định","Số 09/2019/QĐ-UBND, ngày 11/03/2019","Sửa đồi một số phụ lục đơn giá xây dựng nhà ở để bồi thường khi Nhà nước thu hồi đất, để bán nhà ở thuộc sở hữu Nhà nước cho người đang thuê, để định giá trong các vụ án của tòa án, thi hành án và định giá trong các nghiệp vụ kinh tế khác trên địa bàn tỉnh Đồng Nai ban hành kèm theo Quyết định số 57/2014/QĐ-UBND ngày 20/11/2014 của UBND tỉnh Đồng Nai","DIA_PHUONG","Tất cả",4,1
16,"Quyết định","Số 11/2019/QĐ-UBND, ngày 15/03/2019","Ban hành quy định về giá bồi thường, hỗ trợ tài sản khi Nhà nước thu hồi đất trên địa bàn tỉnh Đồng Nai","DIA_PHUONG","Tất cả",5,1
17,,,"Giấy chứng nhận quyền sử dụng đất và tài sản gắn liền với đất","PHAP_LY","Tất cả",1,1
18,,,"Giấy chứng nhận quyền sử dụng đất","PHAP_LY","Tất cả",2,0
