id,name,province_id,oid,province_oid,active
1,"Thành phố Long Xuyên",1,16540,16450,1
2,"Thành phố Thủ Dầu Một",3,16810,16520,1
3,"Thành phố Châu Đốc",1,16541,16450,1
4,"Thị xã Bến Cát",3,16811,16520,1
5,"Thị xã Tân Châu",1,16542,16450,1
6,"Hoài Ân",5,16366,16361,1
7,"Thành phố Bà Rịa",2,16801,16511,1
8,"Thị xã La Gi",4,16421,16410,1
9,"Hòa Bình",6,16620,16470,1
10,"Thị xã Dĩ An",3,16812,16520,1
11,"Thành phố Phan Thiết",4,16420,16410,1
12,"Hồng Dân",6,16621,16470,1
13,"An Phú",1,16543,16450,1
14,"Thành phố Vũng Tàu",2,16802,16511,1
15,"An Lão",5,16364,16361,1
16,"Thị xã Tân Uyên",3,16813,16520,1
17,"An Nhơn",5,16365,16361,1
18,"Phước Long",6,16622,16470,1
19,"Châu Phú",1,16544,16450,1
20,"Tuy Phong",4,16422,16410,1
21,"Châu Đức",2,16803,16511,1
22,"Bắc Tân Uyên",3,16814,16520,1
23,"Côn Đảo",2,16804,16511,1
24,"Châu Thành",1,16545,16450,1
25,"Bắc Bình",4,16423,16410,1
26,"Hoài Nhơn",5,16367,16361,1
27,"Vĩnh Lợi",6,16623,16470,1
28,"Bàu Bàng",3,16815,16520,1
29,"Phù Cát",5,16368,16361,1
30,"Đất Đỏ",2,16805,16511,1
31,"Đông Hải",6,16624,16470,1
32,"Chợ Mới",1,16546,16450,1
33,"Hàm Thuận Bắc",4,16424,16410,1
34,"Dầu Tiếng",3,16817,16520,1
35,"Hàm Thuận Nam",4,16425,16410,1
36,"Thị xã Giá Rai",6,16625,16470,1
37,"Phù Mỹ",5,16369,16361,1
38,"Long Điền",2,16806,16511,1
39,"Phú Tân",1,16547,16450,1
40,"Phú Giáo",3,16818,16520,1
41,"Tánh Linh",4,16426,16410,1
42,"Tây Sơn",5,16370,16361,1
43,"Thoại Sơn",1,16548,16450,1
44,"Thị xã Phú Mỹ",2,16807,16511,1
45,"Thành phố Bạc Liêu",6,16626,16470,1
46,"Thị xã Thuận An",3,16819,16520,1
47,"Hàm Tân",4,16427,16410,1
48,"Tuy Phước",5,16371,16361,1
49,"Xuyên Mộc",2,16808,16511,1
50,"Tịnh Biên",1,16549,16450,1
51,"Thành phố PleiKu",10,16711,16481,1
52,"Thành phố Phủ Lý",11,16854,16541,1
53,"Tri Tôn",1,16550,16450,1
54,"Đức Linh",4,16428,16410,1
55,"Vân Canh",5,16372,16361,1
56,"Thị xã An Khê",10,16712,16481,1
57,"Thành Phố Bến Tre",7,16430,16411,1
58,"Huyện Kim Bảng",11,16858,16541,1
59," Ba Tri",7,16431,16411,1
60,"Phú Quý",4,16429,16410,1
61,"Vĩnh Thạnh",5,16373,16361,1
62,"Thị xã Ayun Pa",10,16713,16481,1
63,"Thành phố Cà Mau",8,16450,16420,1
64,"Huyện Bình Lục",11,16856,16541,1
65,"Bình Đại ",7,16432,16411,1
66,"Thành phố Quy Nhơn",5,16374,16361,1
67,"Đầm Dơi",8,16451,16420,1
68,"Chư Păh",10,16714,16481,1
69,"Huyện Buôn Đôn",9,16628,16471,1
70,"Huyện Duy Tiên",11,16857,16541,1
71,"Ngọc Hiển",8,16452,16420,1
72,"Huyện Cư M'gar",9,16629,16471,1
73,"Châu Thành",7,16433,16411,1
74,"Chư Prông",10,16715,16481,1
75,"Quận Bắc Từ Liêm",12,16503,16441,1
76,"Huyện Lý Nhân",11,16859,16541,1
77,"Chư Pưh",10,16716,16481,1
78,"Huyện Cư Cuin",9,16630,16471,1
79,"Giồng Trôm",7,16436,16411,1
80,"Quận Cầu Giấy",12,16504,16441,1
81,"Cái Nước",8,16453,16420,1
82,"Huyện Thanh Liêm",11,16860,16541,1
83,"Quận Đống Đa",12,16505,16441,1
84,"Mõ Cày Bắc",7,16437,16411,1
85,"Chư Sê",10,16717,16481,1
86,"Huyện Ea H'Leo",9,16631,16471,1
87,"Trần Văn Thời",8,16454,16420,1
88,"Quận Hà Đông",12,16506,16441,1
89,"Huyện Ea Kar",9,16632,16471,1
90,"U Minh",8,16455,16420,1
91,"Mõ Cày Nam",7,16438,16411,1
92,"Đắk Đoa",10,16718,16481,1
93,"Thành phố Vị Thanh",13,16472,16430,1
94,"Quận Hai Bà Trưng",12,16507,16441,1
95,"Đak Pơ",10,16719,16481,1
96,"Huyện Ea Súp",9,16633,16471,1
97,"Thị xã Ngã Bảy",13,16473,16430,1
98,"Thới Bình",8,16456,16420,1
99,"Thạnh Phú",7,16439,16411,1
100,"Quận Hoàn Kiếm",12,16508,16441,1
101,"Năm Căn",8,16457,16420,1
102,"Chợ Lách",7,16435,16411,1
103,"huyện Krông Ana",9,16634,16471,1
104,"Đức Cơ",10,16720,16481,1
105,"Vị Thủy",13,16474,16430,1
106,"Quận Hoàng Mai",12,16509,16441,1
107,"Phụng Hiệp",13,16475,16430,1
108,"Huyện Krông Bông",9,16635,16471,1
109,"Ia Grai",10,16721,16481,1
110,"Phú Tân",8,16458,16420,1
111,"Thành phố Nha Trang",14,16792,16510,1
112,"Quận Long Biên",12,16510,16441,1
113,"Huyện Krông Búk",9,16636,16471,1
114,"Thành phố Cam Ranh",14,16793,16510,1
115,"Châu Thành",13,16476,16430,1
116,"Ia Pa",10,16722,16481,1
117,"Quận Nam Từ Liêm",12,16511,16441,1
118,"Thành Phố Hà Tiên",15,16440,16412,1
119,"Huyện Krông Păk",9,16637,16471,1
120,"Châu Thành A",13,16477,16430,1
121,K'Bang,10,16723,16481,1
122,"Thị xã Ninh Hòa",14,16794,16510,1
123,"Quận Tây Hồ",12,16512,16441,1
124," Kiên Lương ",15,16448,16412,1
125,"Huyện Lắk",9,16638,16471,1
