id,name,district_id,updated_at,active
1,"Ba Son",1,NULL,1
2,"Bà Huyện Thanh Quan ",1,NULL,1
3,"Bùi Thị Xuân",1,NULL,1
4,"Bùi Viện",1,NULL,1
5,"Bùi Văn Danh",1,NULL,1
6,"Bạch Đằng",1,NULL,1
7,"Bảo Định Giang",1,NULL,1
8,"Bế Văn Đàn",1,NULL,1
9,"Cao Thắng",1,NULL,1
10,"Cao Văn Lầu",1,NULL,1
11,"Chu Văn An",1,NULL,1
12,"Châu Mạnh Trinh",1,NULL,1
13,"Châu Thị Tế",1,NULL,1
14,"Châu Văn Liêm",1,NULL,1
15,"Chưởng Binh Lễ",1,NULL,1
16,"Cái Sao - Bờ Hồ",1,NULL,1
17,"Cô Bắc",1,NULL,1
18,"Cô Giang",1,NULL,1
19,"Côn Đảo",1,NULL,1
20,"Cù Chính Lan",1,NULL,1
21,"Cường Để",1,NULL,1
22,"Cầm Bá Thước",1,NULL,1
23,"Cặp bờ kè Nguyễn Du",1,NULL,1
24,"Dã Tượng",1,NULL,1
25,"Dương Bá Trạc",1,NULL,1
26,"Dương Bạch Mai",1,NULL,1
27,"Dương Diên Nghệ",1,NULL,1
28,"Dương Khuê",1,NULL,1
29,"Giang Văn Minh",1,NULL,1
30,"Hai Bà Trưng",1,NULL,1
31,"Hoàng Lê Kha",1,NULL,1
32,"Hoàng Ngọc Phách",1,NULL,1
33,"Hoàng Quốc Việt",1,NULL,1
34,"Hoàng Văn Thái",1,NULL,1
35,"Hoàng Văn Thụ",1,NULL,1
36,"Huỳnh Thúc Kháng",1,NULL,1
37,"Huỳnh Thị Hưởng",1,NULL,1
38,"Huỳnh Tấn Phát",1,NULL,1
39,"Huỳnh Văn Hây",1,NULL,1
40,"Huỳnh Văn Nghệ",1,NULL,1
41,"Hà Hoàng Hổ",1,NULL,1
42,"Hà Huy Giáp",1,NULL,1
43,"Hà Huy Tập",1,NULL,1
44,"Hàm Nghi",1,NULL,1
45,"Hàn Mạc Tử",1,NULL,1
46,"Hùng Vương",1,NULL,1
47,"Hải Thượng Lãn Ông",1,NULL,1
48,"Hắc Hải",1,NULL,1
49,"Hẻm 1 (khóm Đông An 1)",1,NULL,1
50,"Hẻm 1 khóm Thới An",1,NULL,1
51,"Hẻm 1 rạch Cái Sơn (Đông An 5)",1,NULL,1
52,"Hẻm 11 (Khu dân cư Bắc Hà Hoàng Hổ phường Mỹ Hòa)",1,NULL,1
53,"Hẻm 12",1,NULL,1
54,"Hẻm 13 rạch Bằng Lăng (Khu dân cư Bắc Hà Hoàng Hổ phường Mỹ Hòa)",1,NULL,1
55,"Hẻm 141 ",1,NULL,1
56,"Hẻm 2 (Trần Hưng Đạo - Cuối hẻm)",1,NULL,1
57,"Hẻm 2 (khóm Đông An 1)",1,NULL,1
58,"Hẻm 2 Yếu Kiêu - Cô Bắc - Cô Giang",1,NULL,1
59,"Hẻm 2 khóm Thới An ",1,NULL,1
60,"Hẻm 21 (Khu dân cư Bắc Hà Hoàng Hổ phường Mỹ Hòa)",1,NULL,1
61,"Hẻm 22 (Khu dân cư Bắc Hà Hoàng Hổ phường Mỹ Hòa)",1,NULL,1
62,"Hẻm 23 (Khu dân cư Bắc Hà Hoàng Hổ phường Mỹ Hòa)",1,NULL,1
