Quận/Huyện,Logic,N/A = Yes,Phường,Đường,Đoạn,VT1,VT2,VT3,VT4,Loại đất,
Thành phố Biên Hòa,Phường,,Thanh Bình,,,290,270,260,250,NUÔI TRỒNG THỦY SẢN,
Thành phố Biên Hòa,Phường,,Trung Dũng,,,290,270,260,250,NUÔI TRỒNG THỦY SẢN,
Thành phố Biên Hòa,Phường,,Hòa Bình,,,290,270,260,250,NUÔI TRỒNG THỦY SẢN,
Thành phố Biên Hòa,Phường,,Quyết Thắng,,,290,270,260,250,NUÔI TRỒNG THỦY SẢN,
Thành phố Biên Hòa,Phường,,Quang Vinh,,,290,270,260,250,NUÔI TRỒNG THỦY SẢN,
Thành phố Biên Hòa,Phường,,Thống Nhất,,,290,270,260,250,NUÔI TRỒNG THỦY SẢN,
Thành phố Biên Hòa,Phường,,Tân Hiệp,,,290,270,260,250,NUÔI TRỒNG THỦY SẢN,
Thành phố Biên Hòa,Phường,,Tam Hòa,,,290,270,260,250,NUÔI TRỒNG THỦY SẢN,
Thành phố Biên Hòa,Phường,,Tam Hiệp,,,290,270,260,250,NUÔI TRỒNG THỦY SẢN,
Thành phố Biên Hòa,Phường,,Bình Đa,,,290,270,260,250,NUÔI TRỒNG THỦY SẢN,
Thành phố Biên Hòa,Phường,,Tân Mai,,,290,270,260,250,NUÔI TRỒNG THỦY SẢN,
Thành phố Biên Hòa,Phường,,Tân Tiến,,,290,270,260,250,NUÔI TRỒNG THỦY SẢN,
Thành phố Biên Hòa,Phường,,Trảng Dài,,,290,270,260,250,NUÔI TRỒNG THỦY SẢN,
Thành phố Biên Hòa,Phường,,Long Bình,,,290,270,260,250,NUÔI TRỒNG THỦY SẢN,
Thành phố Biên Hòa,Phường,,An Bình,,,290,270,260,250,NUÔI TRỒNG THỦY SẢN,
Thành phố Biên Hòa,Phường,,Tân Phong,,,290,270,260,250,NUÔI TRỒNG THỦY SẢN,
Thành phố Biên Hòa,Phường,,Tân Hòa,,,290,270,260,250,NUÔI TRỒNG THỦY SẢN,
Thành phố Biên Hòa,Phường,,Tân Vạn,,,290,270,260,250,NUÔI TRỒNG THỦY SẢN,
Thành phố Biên Hòa,Phường,,Bửu Long,,,290,270,260,250,NUÔI TRỒNG THỦY SẢN,
Thành phố Biên Hòa,Phường,,Tân Biên,,,290,270,260,250,NUÔI TRỒNG THỦY SẢN,
Thành phố Biên Hòa,Phường,,Long Bình Tân,,,290,270,260,250,NUÔI TRỒNG THỦY SẢN,
Thành phố Biên Hòa,Phường,,Hố Nai,,,290,270,260,250,NUÔI TRỒNG THỦY SẢN,
Thành phố Biên Hòa,Phường,,Bửu Hòa,,,290,270,260,250,NUÔI TRỒNG THỦY SẢN,
Thành phố Biên Hòa,Phường,,Hiệp Hòa,,,290,270,260,250,NUÔI TRỒNG THỦY SẢN,
Thành phố Biên Hòa,Phường,,Hóa An,,,270,260,250,240,NUÔI TRỒNG THỦY SẢN,
Thành phố Biên Hòa,Phường,,Tân Hạnh,,,270,260,250,240,NUÔI TRỒNG THỦY SẢN,
Thành phố Biên Hòa,Phường,,An Hòa,,,270,260,250,240,NUÔI TRỒNG THỦY SẢN,
Thành phố Biên Hòa,Phường,,Phước Tân,,,270,260,250,240,NUÔI TRỒNG THỦY SẢN,
Thành phố Biên Hòa,Phường,,Tam Phước và xã Long Hưng,,,270,260,250,240,NUÔI TRỒNG THỦY SẢN,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường 30 Tháng 4,Đoạn từ đường Cách Mạng Tháng 8 đến ngã năm Biên Hùng (giáp đường Hưng Đạo Vương),40000,16000,13000,9000,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường 30 Tháng 4,Đoạn từ ngã năm Biên Hùng đến Vườn Mít (giáp đường Hưng Đạo Vương đến đường Phạm Văn Thuận),35000,14000,10000,7500,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Cách Mạng Tháng 8,Đoạn từ ngã ba Mũi Tàu (giáp đường Hà Huy Giáp) đến đường Nguyễn Văn Trị,23000,11000,8000,6500,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Cách Mạng Tháng 8,Đoạn từ đường Nguyễn Văn Trị đến đường Phan Chu Trinh,37500,15000,10000,8500,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Cách Mạng Tháng 8,Đoạn từ đường Phan Chu Trinh đến đường Nguyễn Ái Quốc,27500,11000,8500,6500,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Hưng Đạo Vương,Đoạn từ đường Phan Đình Phùng đến ngã năm Biên Hùng,32000,16000,9000,6500,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Hưng Đạo Vương,Đoạn từ ngã năm Biên Hùng đến Ga Biên Hòa,29000,13000,9000,6500,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Lữ Mành,Đoạn 1: Từ đường Cách Mạng Tháng 8 (đường bên hông Trường Mầm non Thanh Bình) đến đường Cách Mạng Tháng 8 (đường bên hông Chi cục Thuế Biên Hòa),26000,13000,9500,6500,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Lữ Mành,Đoạn 2: Từ đường Trần Minh Trí đến giáp đoạn 1,23000,13000,9500,6500,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Lý Thường Kiệt,,30000,15000,9500,6500,ĐẤT Ở ĐÔ THỊ,
